Network_type,Operator,State,Signal_strength_dBm,No_of_Issues_Resolved,Plan_Type,Months_Active,Latency_Score,Customer_Churn
5G,Airtel,Telangana,-95.84,3,Monthly Plan,7,54.641555911179,1
5G,Airtel,Gujarat,-86.09,3,3 Months Plan,9,34.23616389776323,1
5G,Airtel,Delhi,-111.92,1,Monthly Plan,7,80.31834123144745,1
4G,Airtel,Gujarat,-99.65,8,Monthly Plan,21,62.805538606365694,0
5G,Airtel,Kerala,-93.01,6,Monthly Plan,71,48.76003114683324,0
4G,Airtel,Tamil Nadu,-98.29,7,Monthly Plan,26,56.876071872342905,0
4G,Airtel,West Bengal,-94.78,2,3 Months Plan,67,52.80581606721398,0
4G,Airtel,Karnataka,-94.77,1,Yearly Plan,34,52.62698063676533,0
4G,Airtel,Kerala,-91.45,12,3 Months Plan,45,47.34699802953132,0
4G,Airtel,Kerala,-97.28,3,Monthly Plan,13,57.253802544843694,1
5G,Airtel,Gujarat,-85.96,9,Monthly Plan,60,31.3042750177168,0
5G,Airtel,West Bengal,-98.95,0,Yearly Plan,7,60.99875915013722,1
5G,Airtel,Telangana,-93.32,0,Yearly Plan,17,48.15421971461426,1
4G,Airtel,Delhi,-91.03,5,Monthly Plan,71,46.15003456963465,0
4G,Airtel,Rajasthan,-88.73,4,Monthly Plan,4,43.704026739332186,1
5G,Airtel,Delhi,-74.29,3,Monthly Plan,5,14.18049966404201,1
4G,Airtel,Kerala,-93.29,5,3 Months Plan,45,49.239737243660784,0
5G,Airtel,Tamil Nadu,-97.57,1,3 Months Plan,12,55.38093663544053,1
5G,Airtel,Kerala,-94.41,0,3 Months Plan,20,51.8524561567392,1
4G,Airtel,Telangana,-108.15,1,3 Months Plan,7,74.80766819105763,1
5G,Airtel,Karnataka,-75.35,9,Monthly Plan,51,15.187288511939718,0
4G,Airtel,Gujarat,-88.89,2,Monthly Plan,9,40.56433497123972,1
5G,Airtel,Tamil Nadu,-104.79,6,Yearly Plan,31,68.68363338934937,0
5G,Airtel,Telangana,-117.3,4,Yearly Plan,52,90.78255537877224,0
4G,Airtel,Uttar Pradesh,-87.25,12,3 Months Plan,44,37.31925193975151,0
5G,Airtel,Telangana,-77.32,4,Yearly Plan,17,20.95100355709255,1
5G,Airtel,Telangana,-78.71,11,Monthly Plan,21,19.52113688482845,0
4G,Airtel,Delhi,-89.89,9,3 Months Plan,65,46.08652528934294,0
4G,Airtel,Gujarat,-93.23,6,Monthly Plan,19,50.534807086312775,1
5G,Airtel,Gujarat,-97.82,4,Yearly Plan,21,55.616706415778296,1
4G,Airtel,Maharashtra,-100.59,5,3 Months Plan,11,64.73045365010164,1
4G,Airtel,Uttar Pradesh,-91.66,9,3 Months Plan,22,47.54463307262702,0
5G,Airtel,Kerala,-89.44,6,Yearly Plan,72,42.08601659208131,0
5G,Airtel,Karnataka,-72.94,2,Yearly Plan,4,10.961881680607414,1
5G,Airtel,Delhi,-115.36,1,Monthly Plan,19,86.23522645340532,1
4G,Airtel,Tamil Nadu,-92.93,2,Monthly Plan,9,49.309134550070354,1
5G,Airtel,Telangana,-89.24,2,Monthly Plan,15,40.718118476330496,0
5G,Airtel,Gujarat,-79.64,1,Yearly Plan,14,21.69322546216589,0
5G,Airtel,Telangana,-85.74,1,Yearly Plan,16,34.0092650863974,1
5G,Airtel,Tamil Nadu,-75.58,0,3 Months Plan,12,12.909186113290074,1
5G,Airtel,Maharashtra,-82.43,0,3 Months Plan,5,27.92595238398683,1
5G,Airtel,Tamil Nadu,-104.84,7,3 Months Plan,27,68.11465218936398,0
5G,Airtel,Rajasthan,-80.16,4,3 Months Plan,24,23.99008940194528,1
4G,Airtel,Gujarat,-120.0,1,3 Months Plan,24,95.95337727652984,1
5G,Airtel,Delhi,-80.99,6,Yearly Plan,57,27.612691048948136,0
5G,Airtel,Rajasthan,-99.45,6,Monthly Plan,22,60.14019071430414,1
4G,Airtel,West Bengal,-100.66,3,3 Months Plan,29,62.77525267716837,0
4G,Airtel,Delhi,-100.65,0,Yearly Plan,1,60.96318672983978,1
5G,Airtel,Telangana,-76.2,9,3 Months Plan,72,16.513007970881965,0
5G,Airtel,Gujarat,-84.06,5,Yearly Plan,19,29.73492678734552,1
5G,Airtel,Rajasthan,-119.08,2,Yearly Plan,2,97.2758132469382,1
5G,Airtel,Karnataka,-115.37,1,3 Months Plan,40,86.77830226772734,0
4G,Airtel,Tamil Nadu,-82.63,0,Monthly Plan,15,29.294668372412985,1
4G,Airtel,Maharashtra,-86.89,7,3 Months Plan,13,39.18834337368562,0
4G,Airtel,Delhi,-93.73,5,Monthly Plan,20,48.4911351895608,0
4G,Airtel,Maharashtra,-89.17,2,3 Months Plan,52,42.46730013009992,0
4G,Airtel,West Bengal,-92.78,2,3 Months Plan,18,48.92377573142274,1
5G,Airtel,Uttar Pradesh,-82.46,0,Monthly Plan,22,26.048167100706483,1
5G,Airtel,Rajasthan,-74.25,3,3 Months Plan,13,14.537713163416903,0
5G,Airtel,Telangana,-81.71,4,3 Months Plan,10,28.112295793697683,1
4G,Airtel,Karnataka,-106.04,1,Yearly Plan,39,73.14280202195074,0
4G,Airtel,Gujarat,-90.08,2,3 Months Plan,13,42.90077462301052,1
5G,Airtel,Gujarat,-99.3,3,Monthly Plan,25,55.34141957518376,0
4G,Airtel,Uttar Pradesh,-104.29,2,3 Months Plan,13,65.89940518591287,1
5G,Airtel,Telangana,-115.54,2,Monthly Plan,16,88.40430753514687,1
4G,Airtel,Tamil Nadu,-89.19,8,Yearly Plan,14,43.78206835189358,0
5G,Airtel,Telangana,-75.29,10,Monthly Plan,40,13.545646894552386,0
4G,Airtel,Karnataka,-116.38,1,3 Months Plan,45,90.74643529127349,0
4G,Airtel,Rajasthan,-120.0,2,Monthly Plan,29,95.86104912092378,0
5G,Airtel,Uttar Pradesh,-83.11,0,Yearly Plan,21,25.386194743827712,1
5G,Airtel,Delhi,-112.07,4,Yearly Plan,12,81.15111636953016,1
5G,Airtel,Karnataka,-76.97,1,3 Months Plan,4,16.145071308530973,1
5G,Airtel,Maharashtra,-92.76,0,3 Months Plan,6,44.09637970314465,1
5G,Airtel,Uttar Pradesh,-98.73,0,3 Months Plan,10,59.53443947544413,1
4G,Airtel,Rajasthan,-94.12,2,Yearly Plan,64,52.09586441866061,0
4G,Airtel,Tamil Nadu,-85.99,3,Monthly Plan,12,36.13385106119856,1
5G,Airtel,Delhi,-81.55,11,3 Months Plan,55,27.33785267432345,0
4G,Airtel,Maharashtra,-90.98,4,Yearly Plan,21,47.11739238799551,1
4G,Airtel,Telangana,-85.91,0,Yearly Plan,3,37.19509956236488,1
4G,Airtel,Gujarat,-81.91,6,3 Months Plan,24,30.666082775976005,0
5G,Airtel,West Bengal,-84.78,0,Yearly Plan,19,30.480232312152246,1
5G,Airtel,Karnataka,-93.43,6,Monthly Plan,5,46.88425555145578,1
5G,Airtel,Tamil Nadu,-115.6,2,Yearly Plan,14,88.31853015641634,1
4G,Airtel,West Bengal,-120.0,10,Monthly Plan,20,94.83950649969314,0
5G,Airtel,West Bengal,-97.5,1,Monthly Plan,14,53.20775146904193,1
4G,Airtel,Kerala,-83.28,1,Monthly Plan,16,29.61031659538081,1
5G,Airtel,Kerala,-74.5,4,Monthly Plan,4,15.138710754786445,1
5G,Airtel,Telangana,-119.01,0,3 Months Plan,5,92.86578806915064,1
5G,Airtel,Rajasthan,-92.2,3,Yearly Plan,23,43.8077195732429,1
5G,Airtel,Tamil Nadu,-81.35,4,Yearly Plan,22,25.011103727100565,1
4G,Airtel,Delhi,-95.64,12,3 Months Plan,39,52.37577760542794,0
4G,Airtel,Gujarat,-102.94,1,3 Months Plan,10,64.33499053985776,1
5G,Airtel,Delhi,-75.66,0,3 Months Plan,1,15.975269846474122,1
4G,Airtel,Gujarat,-84.04,8,Yearly Plan,16,35.99027104005827,1
5G,Airtel,Karnataka,-94.38,0,Yearly Plan,2,51.95686930407909,1
5G,Airtel,Rajasthan,-95.74,3,3 Months Plan,23,49.8972048577956,0
5G,Airtel,Kerala,-117.29,6,Yearly Plan,29,91.5530893498494,0
5G,Airtel,Delhi,-111.04,1,Monthly Plan,21,76.83581784246387,1
5G,Airtel,Rajasthan,-93.83,5,3 Months Plan,49,48.875983784298185,0
5G,Airtel,Tamil Nadu,-103.87,1,3 Months Plan,57,64.94952507599388,0
5G,Airtel,Maharashtra,-85.7,1,Yearly Plan,4,34.395438181243144,1
5G,Airtel,Rajasthan,-84.46,1,3 Months Plan,17,31.614066277229995,1
4G,Airtel,Uttar Pradesh,-88.96,2,3 Months Plan,13,41.27476038150449,1
4G,Airtel,Tamil Nadu,-84.4,0,Yearly Plan,16,33.14949620413316,1
5G,Airtel,Telangana,-103.32,4,3 Months Plan,68,67.60167841359159,0
5G,Airtel,Karnataka,-97.1,10,Yearly Plan,72,55.86260745806161,0
4G,Airtel,West Bengal,-104.9,7,Yearly Plan,20,68.27315888375416,1
4G,Airtel,Delhi,-91.13,1,Monthly Plan,21,47.07054201023408,1
5G,Airtel,Telangana,-93.67,0,Monthly Plan,10,47.71942720896973,1
5G,Airtel,Rajasthan,-81.41,3,3 Months Plan,14,24.0981378320197,1
5G,Airtel,Kerala,-87.03,3,3 Months Plan,68,37.4007832455378,0
5G,Airtel,Maharashtra,-103.34,7,3 Months Plan,60,67.12774563405041,0
5G,Airtel,Tamil Nadu,-85.6,9,Monthly Plan,58,33.88546216887276,0
4G,Airtel,West Bengal,-120.0,3,Monthly Plan,48,97.5157125902551,0
5G,Airtel,Uttar Pradesh,-111.2,10,Monthly Plan,48,81.49415693197167,0
5G,Airtel,Maharashtra,-106.5,1,3 Months Plan,14,69.69478380871934,0
4G,Airtel,Uttar Pradesh,-86.54,2,Monthly Plan,34,38.73159901233853,0
4G,Airtel,Maharashtra,-96.73,0,3 Months Plan,22,56.70923508386365,1
5G,Airtel,Karnataka,-82.54,5,Yearly Plan,4,27.96351290759395,1
4G,Airtel,Uttar Pradesh,-77.88,2,3 Months Plan,12,22.49129556478252,0
5G,Airtel,Tamil Nadu,-86.95,1,Monthly Plan,20,34.44467694498087,0
5G,Airtel,Karnataka,-96.0,1,Yearly Plan,13,51.56156712035641,1
5G,Airtel,Karnataka,-86.23,5,3 Months Plan,8,32.85676643612652,1
4G,Airtel,Delhi,-89.43,13,Yearly Plan,55,46.58551352917695,0
4G,Airtel,Kerala,-101.08,2,Yearly Plan,57,60.88300500298131,0
5G,Airtel,Uttar Pradesh,-82.06,7,Monthly Plan,44,24.296524090266374,0
4G,Airtel,West Bengal,-113.74,4,Monthly Plan,55,87.49564664114783,0
5G,Airtel,Delhi,-99.11,2,Yearly Plan,16,60.16140764972988,1
5G,Airtel,Delhi,-99.43,1,Yearly Plan,11,59.87094938977726,1
5G,Airtel,Telangana,-94.95,1,Monthly Plan,5,52.12631350261661,1
5G,Airtel,Kerala,-103.83,5,3 Months Plan,36,64.8493446155735,0
5G,Airtel,Uttar Pradesh,-79.12,2,3 Months Plan,1,20.09941818886887,1
5G,Airtel,West Bengal,-114.27,3,3 Months Plan,60,86.0078053622465,0
5G,Airtel,Delhi,-77.67,2,Monthly Plan,3,19.579656114230417,1
4G,Airtel,Delhi,-93.18,6,3 Months Plan,28,46.93196878106544,0
4G,Airtel,Gujarat,-96.73,0,3 Months Plan,10,57.57225912575604,1
4G,Airtel,Maharashtra,-94.69,6,Yearly Plan,16,52.91205576143382,0
4G,Airtel,West Bengal,-107.23,1,3 Months Plan,5,73.64316044716414,1
5G,Airtel,Uttar Pradesh,-109.11,2,Yearly Plan,44,74.67546233577556,0
5G,Airtel,Kerala,-103.35,1,Yearly Plan,13,65.56627610781378,0
4G,Airtel,Rajasthan,-88.6,3,Yearly Plan,9,42.46506669744841,1
5G,Airtel,Uttar Pradesh,-78.9,3,3 Months Plan,69,18.134322453896885,0
5G,Airtel,Gujarat,-84.47,1,Monthly Plan,5,32.957737515143215,1
4G,Airtel,Telangana,-79.31,1,3 Months Plan,24,23.321184990348065,1
5G,Airtel,West Bengal,-79.92,5,Monthly Plan,21,23.884278006461823,0
5G,Airtel,Maharashtra,-81.4,2,Yearly Plan,22,25.2637552162214,1
4G,Airtel,Telangana,-117.61,8,3 Months Plan,60,89.38051205899706,0
4G,Airtel,Rajasthan,-106.21,3,Yearly Plan,53,72.98905381819878,0
5G,Airtel,Kerala,-79.78,5,Monthly Plan,16,21.22024250811593,1
4G,Airtel,Karnataka,-95.46,1,Yearly Plan,63,54.02040866648874,0
4G,Airtel,Karnataka,-79.61,6,Yearly Plan,24,26.088357407661167,0
5G,Airtel,Kerala,-93.07,4,3 Months Plan,3,47.26399957939662,1
5G,Airtel,West Bengal,-83.87,7,Monthly Plan,30,29.945516686727323,0
5G,Airtel,Delhi,-87.53,8,Yearly Plan,56,36.87258587839754,0
5G,Airtel,Rajasthan,-109.64,0,Yearly Plan,17,79.32258232195663,1
4G,Airtel,Tamil Nadu,-94.81,1,3 Months Plan,14,53.55822671366499,1
4G,Airtel,Kerala,-89.2,0,Monthly Plan,1,43.96075644491814,1
5G,Airtel,West Bengal,-86.14,1,Monthly Plan,2,31.89941894852363,1
4G,Airtel,Telangana,-90.41,7,3 Months Plan,25,42.61154879950455,0
5G,Airtel,Kerala,-76.29,7,3 Months Plan,21,14.219613219757523,1
4G,Airtel,Rajasthan,-94.09,2,Monthly Plan,66,51.54977174803008,0
5G,Airtel,Delhi,-84.5,1,Monthly Plan,2,32.440058431768485,1
5G,Airtel,Kerala,-93.56,1,3 Months Plan,23,49.16404866670514,1
4G,Airtel,Uttar Pradesh,-83.35,12,Yearly Plan,53,32.38526789772734,0
4G,Airtel,West Bengal,-82.84,3,3 Months Plan,20,31.912458122364256,1
5G,Airtel,Delhi,-117.35,0,Monthly Plan,2,90.7302852439812,1
5G,Airtel,Kerala,-94.88,0,3 Months Plan,2,48.80053051116733,1
4G,Airtel,Tamil Nadu,-86.05,0,Monthly Plan,13,35.39956027162824,1
5G,Airtel,West Bengal,-109.25,7,Monthly Plan,33,76.15783956907732,0
4G,Airtel,Rajasthan,-115.83,1,Yearly Plan,60,88.45836832771872,0
5G,Airtel,Uttar Pradesh,-100.85,1,Yearly Plan,16,59.92332505311455,1
5G,Airtel,Karnataka,-76.06,3,3 Months Plan,4,15.508871423462711,1
4G,Airtel,West Bengal,-82.8,6,Monthly Plan,43,32.90592610241003,0
4G,Airtel,Karnataka,-109.2,5,Monthly Plan,3,78.47920666247074,1
5G,Airtel,Maharashtra,-92.16,3,Yearly Plan,21,45.83350557445126,1
4G,Airtel,Uttar Pradesh,-120.0,6,Yearly Plan,1,95.12249355561346,1
5G,Airtel,Karnataka,-101.65,6,Monthly Plan,12,62.304574897608575,1
5G,Airtel,Tamil Nadu,-80.78,2,Yearly Plan,14,24.07296992104874,1
5G,Airtel,Telangana,-96.84,0,Yearly Plan,15,52.18603102206257,1
5G,Airtel,Rajasthan,-81.59,4,Monthly Plan,17,26.35357698113897,0
4G,Airtel,Telangana,-87.57,13,3 Months Plan,43,39.12610280366826,0
5G,Airtel,Uttar Pradesh,-91.89,1,Yearly Plan,22,44.321268378708425,1
5G,Airtel,Karnataka,-87.0,2,Yearly Plan,23,37.392151676368,1
5G,Airtel,Karnataka,-105.01,2,Yearly Plan,14,66.54683147423027,1
4G,Airtel,Kerala,-109.38,2,Monthly Plan,6,77.5512735257303,1
5G,Airtel,Gujarat,-109.61,5,3 Months Plan,23,78.87537111340221,1
5G,Airtel,Maharashtra,-89.9,5,3 Months Plan,24,42.69423405270943,0
4G,Airtel,Kerala,-90.47,8,3 Months Plan,23,46.67489645788344,0
5G,Airtel,Maharashtra,-116.22,0,Yearly Plan,20,90.16367954778912,1
4G,Airtel,Tamil Nadu,-86.81,0,Monthly Plan,3,37.48823045874021,1
5G,Airtel,Delhi,-83.84,5,3 Months Plan,56,30.69392078261617,0
5G,Airtel,West Bengal,-93.56,0,Monthly Plan,22,45.41682312046132,1
4G,Airtel,Tamil Nadu,-85.08,3,Yearly Plan,29,36.00181757949699,0
4G,Airtel,Telangana,-91.28,0,Monthly Plan,8,48.435257329853854,1
4G,Airtel,Karnataka,-82.16,4,Monthly Plan,47,30.55811205852527,0
4G,Airtel,West Bengal,-103.21,0,Monthly Plan,12,67.77709670947057,1
5G,Airtel,Uttar Pradesh,-77.49,0,Yearly Plan,2,19.44040923811773,1
5G,Airtel,Uttar Pradesh,-80.81,1,Yearly Plan,15,25.51338877090717,0
5G,Airtel,West Bengal,-82.42,7,Yearly Plan,13,28.40899759392904,0
5G,Airtel,Maharashtra,-99.45,6,Monthly Plan,17,58.4771968275097,0
4G,Airtel,Gujarat,-90.01,0,Monthly Plan,4,44.77178696646316,1
4G,Airtel,Karnataka,-114.79,1,3 Months Plan,5,87.8739854650688,1
4G,Airtel,West Bengal,-87.42,7,Yearly Plan,66,39.530158887896825,0
5G,Airtel,Rajasthan,-89.93,0,Monthly Plan,6,41.63317866865941,1
5G,Airtel,Rajasthan,-85.66,0,Yearly Plan,11,33.06198001685233,1
5G,Airtel,Rajasthan,-94.58,7,Monthly Plan,49,51.24621288436791,0
5G,Airtel,West Bengal,-79.36,1,3 Months Plan,19,21.564888208613176,1
4G,Airtel,Kerala,-96.52,2,3 Months Plan,21,54.732509977205126,0
4G,Airtel,Tamil Nadu,-89.49,0,3 Months Plan,6,44.382747268038905,1
4G,Airtel,Gujarat,-82.43,0,Monthly Plan,19,31.97050388024032,1
5G,Airtel,Telangana,-94.48,4,Yearly Plan,20,48.8686838962631,1
4G,Airtel,Uttar Pradesh,-109.22,1,3 Months Plan,15,76.1573212399322,1
5G,Airtel,Maharashtra,-79.98,4,3 Months Plan,59,27.03336842990893,0
5G,Airtel,West Bengal,-75.41,0,Yearly Plan,11,12.89552039024969,1
4G,Airtel,Telangana,-93.88,3,Monthly Plan,5,52.11748873626433,1
5G,Airtel,Uttar Pradesh,-88.56,1,Monthly Plan,23,38.645581286887854,1
4G,Airtel,Telangana,-104.93,0,Yearly Plan,12,71.31927130114833,1
5G,Airtel,Delhi,-101.1,0,3 Months Plan,2,60.425300445655175,1
5G,Airtel,Gujarat,-117.63,10,Monthly Plan,26,89.95019869473808,0
4G,Airtel,Tamil Nadu,-105.46,6,Yearly Plan,17,69.61888937928144,1
5G,Airtel,Delhi,-113.69,7,Yearly Plan,39,84.48958455507936,0
5G,Airtel,Kerala,-91.73,7,Yearly Plan,40,44.86574975237338,0
5G,Airtel,Gujarat,-97.78,2,Monthly Plan,54,55.473038995324806,0
4G,Airtel,Delhi,-94.69,6,Monthly Plan,3,54.51537666638551,1
4G,Airtel,Kerala,-83.91,5,Monthly Plan,14,35.85602391277525,0
4G,Airtel,Telangana,-95.28,1,Monthly Plan,65,52.10888435950282,0
4G,Airtel,Telangana,-84.39,0,Yearly Plan,5,33.95059741327635,1
4G,Airtel,Karnataka,-85.3,0,3 Months Plan,19,35.8494369733001,1
4G,Airtel,Delhi,-89.31,1,3 Months Plan,7,42.44838396274505,1
5G,Airtel,Karnataka,-79.64,4,Monthly Plan,15,23.589039171471367,1
5G,Airtel,Delhi,-93.25,0,Monthly Plan,1,47.81098189805613,1
5G,Airtel,West Bengal,-107.74,3,Monthly Plan,12,72.07296156267478,0
5G,Airtel,Delhi,-82.15,6,Yearly Plan,28,25.02616254391089,0
5G,Airtel,Karnataka,-91.55,4,Monthly Plan,6,43.17973368063338,1
5G,Airtel,Delhi,-95.04,0,Monthly Plan,3,49.21562774644235,1
4G,Airtel,Gujarat,-97.28,8,Yearly Plan,8,55.46057511082265,1
5G,Airtel,Kerala,-101.67,2,Monthly Plan,20,58.84095891932013,1
5G,Airtel,Maharashtra,-87.21,0,Monthly Plan,22,35.33051343080672,1
4G,Airtel,Delhi,-112.14,8,3 Months Plan,24,84.90212147648234,0
5G,Airtel,Karnataka,-91.75,0,Monthly Plan,11,45.09029361190719,1
4G,Airtel,Delhi,-91.45,1,Yearly Plan,10,45.89351962594867,1
4G,Airtel,Karnataka,-85.51,9,3 Months Plan,52,37.05814576536552,0
5G,Airtel,Uttar Pradesh,-89.34,3,3 Months Plan,41,40.05296899455838,0
4G,Airtel,Tamil Nadu,-81.75,2,Yearly Plan,23,30.64464805082805,1
5G,Airtel,West Bengal,-81.97,3,Monthly Plan,60,26.69298697318588,0
4G,Airtel,Tamil Nadu,-98.04,7,Yearly Plan,58,60.08950126356552,0
5G,Airtel,Maharashtra,-81.15,5,Monthly Plan,43,24.521705850248445,0
4G,Airtel,Uttar Pradesh,-105.17,4,3 Months Plan,9,68.47811360825575,1
4G,Airtel,Tamil Nadu,-95.0,4,Monthly Plan,8,53.01155620901241,1
5G,Airtel,Gujarat,-98.07,0,Monthly Plan,22,57.048499643976,1
4G,Airtel,Gujarat,-100.96,1,3 Months Plan,4,62.66297110910906,1
4G,Airtel,Rajasthan,-84.41,0,Monthly Plan,23,32.455108098890896,1
4G,Airtel,Maharashtra,-99.93,1,Monthly Plan,21,61.70590712650258,1
5G,Airtel,Delhi,-89.67,1,Yearly Plan,15,40.17670764089814,1
4G,Airtel,Rajasthan,-120.0,6,Monthly Plan,57,95.09252628928792,0
5G,Airtel,Telangana,-74.04,5,3 Months Plan,49,13.4106602451425,0
4G,Airtel,Telangana,-107.24,2,Yearly Plan,2,75.99609147475066,1
4G,Airtel,West Bengal,-83.73,3,3 Months Plan,27,35.184862990689055,0
4G,Airtel,Delhi,-100.05,2,Monthly Plan,7,61.622223642025645,1
5G,Airtel,Gujarat,-91.95,11,Monthly Plan,26,44.585042235901454,0
5G,Airtel,Tamil Nadu,-84.62,10,3 Months Plan,38,33.58388247824954,0
4G,Airtel,Kerala,-108.83,0,Yearly Plan,9,75.65246793949505,1
5G,Airtel,Rajasthan,-84.95,0,Yearly Plan,22,33.296902828375494,1
4G,Airtel,Telangana,-120.0,7,Yearly Plan,70,96.58298559316572,0
5G,Airtel,Karnataka,-74.74,2,3 Months Plan,17,13.00074505372939,1
4G,Airtel,West Bengal,-88.94,1,Yearly Plan,1,42.45833948867595,1
4G,Airtel,Kerala,-86.18,6,Yearly Plan,15,38.08458417829041,1
4G,Airtel,Rajasthan,-83.82,0,Monthly Plan,2,35.34134497221392,1
5G,Airtel,West Bengal,-96.07,3,3 Months Plan,4,53.53832461215158,1
4G,Airtel,Maharashtra,-120.0,0,Yearly Plan,1,98.29212824909494,1
4G,Airtel,Telangana,-108.29,1,Yearly Plan,49,75.13574281098954,0
5G,Airtel,Uttar Pradesh,-108.62,7,Yearly Plan,33,75.2851235084269,0
4G,Airtel,Tamil Nadu,-105.32,1,Monthly Plan,1,70.86046969816186,1
5G,Airtel,Karnataka,-115.85,3,Monthly Plan,32,86.19061767227177,0
4G,Airtel,Kerala,-93.52,6,Monthly Plan,69,51.11582462584169,0
4G,Airtel,Gujarat,-97.63,4,Yearly Plan,5,56.92866868830348,1
5G,Airtel,Delhi,-91.23,1,3 Months Plan,2,44.55128376910166,1
5G,Airtel,Maharashtra,-75.56,6,Monthly Plan,55,16.412716148599888,0
4G,Airtel,Kerala,-96.64,8,Monthly Plan,47,53.52680355400628,0
5G,Airtel,Telangana,-83.91,0,Monthly Plan,16,31.290541988176525,1
5G,Airtel,Delhi,-112.27,4,Yearly Plan,4,81.60160369271696,1
4G,Airtel,Rajasthan,-84.08,11,Monthly Plan,27,31.97823937435848,0
5G,Airtel,Kerala,-117.18,3,Yearly Plan,27,89.18059891150874,0
4G,Airtel,Delhi,-87.92,5,Monthly Plan,68,42.29147526968792,0
4G,Airtel,Maharashtra,-116.46,2,Monthly Plan,28,89.80519140106213,0
4G,Airtel,Delhi,-83.08,7,Monthly Plan,50,33.253619077152486,0
5G,Airtel,Gujarat,-98.82,2,Yearly Plan,10,57.51433944627205,1
5G,Airtel,Uttar Pradesh,-98.35,2,Yearly Plan,3,54.32212257849331,1
4G,Airtel,Rajasthan,-81.93,6,Monthly Plan,51,33.17542825934985,0
5G,Airtel,Delhi,-79.7,4,Yearly Plan,22,21.875732001416445,0
5G,Airtel,Rajasthan,-78.6,0,Yearly Plan,12,19.773645253993465,1
5G,Airtel,West Bengal,-73.61,0,Monthly Plan,24,13.550573503723635,1
5G,Airtel,Rajasthan,-94.26,4,Monthly Plan,14,48.97861632371722,1
4G,Airtel,Kerala,-91.63,3,3 Months Plan,30,45.26623254027786,0
4G,Airtel,West Bengal,-84.81,8,Yearly Plan,37,34.84631824953698,0
5G,Airtel,Karnataka,-90.16,4,Monthly Plan,28,41.37358681286002,0
5G,Airtel,Kerala,-90.79,4,Monthly Plan,11,41.66634035152745,1
4G,Airtel,Gujarat,-94.64,0,Yearly Plan,6,54.63885249570202,1
5G,Airtel,Uttar Pradesh,-89.52,6,Yearly Plan,70,39.40003609865631,0
5G,Airtel,Maharashtra,-94.39,3,Monthly Plan,6,48.170605501524086,1
4G,Airtel,Kerala,-100.84,4,Yearly Plan,12,63.83637574310013,1
5G,Airtel,Tamil Nadu,-111.36,5,Monthly Plan,23,82.17632594432224,1
5G,Airtel,Delhi,-87.8,6,Yearly Plan,6,38.12394240303407,1
5G,Airtel,Maharashtra,-106.46,0,Yearly Plan,8,72.23602179316894,1
5G,Airtel,Telangana,-93.1,7,Monthly Plan,32,48.877973435207466,0
