Network_type,Operator,State,Signal_strength_dBm,No_of_Issues_Resolved,Plan_Type,Months_Active,Latency_Score,Customer_Churn
4G,BSNL,Telangana,-101.7,3,3 Months Plan,21,63.86182171559918,0
4G,BSNL,West Bengal,-102.27,2,3 Months Plan,13,66.35859898390727,0
4G,BSNL,Gujarat,-79.44,7,Monthly Plan,12,28.071121471572287,0
4G,BSNL,Kerala,-80.81,4,3 Months Plan,22,27.540148229754003,1
4G,BSNL,Delhi,-98.64,0,Monthly Plan,1,58.85724797714483,1
4G,BSNL,Karnataka,-88.4,5,3 Months Plan,70,42.48145952532912,0
4G,BSNL,West Bengal,-86.36,1,Yearly Plan,16,39.15054236827779,1
4G,BSNL,Kerala,-94.04,1,Monthly Plan,21,53.55534658871344,1
4G,BSNL,West Bengal,-96.36,2,3 Months Plan,53,53.06062708829735,0
4G,BSNL,Kerala,-78.07,0,Monthly Plan,12,23.80868262790932,1
4G,BSNL,Gujarat,-98.59,6,3 Months Plan,25,61.44987148485816,0
4G,BSNL,Maharashtra,-86.92,1,Monthly Plan,22,40.95749288700267,1
4G,BSNL,Maharashtra,-85.77,4,Monthly Plan,23,35.51910502037094,1
4G,BSNL,West Bengal,-102.3,5,Yearly Plan,28,67.01521150942501,0
4G,BSNL,Gujarat,-78.68,9,Monthly Plan,62,27.05827262263776,0
4G,BSNL,Gujarat,-87.89,1,3 Months Plan,1,39.115126192719785,1
4G,BSNL,Telangana,-76.74,6,Yearly Plan,1,22.39940996662339,1
4G,BSNL,Telangana,-109.16,0,Monthly Plan,3,78.24438244772682,1
4G,BSNL,Maharashtra,-95.12,2,3 Months Plan,36,53.98745376960651,0
4G,BSNL,Rajasthan,-92.48,2,Yearly Plan,30,49.854564778060286,0
4G,BSNL,Telangana,-99.15,0,Yearly Plan,21,60.6266928066338,1
4G,BSNL,Maharashtra,-97.64,3,3 Months Plan,37,56.004805728352224,0
4G,BSNL,Rajasthan,-97.09,1,3 Months Plan,3,57.05412016804402,1
4G,BSNL,Gujarat,-110.44,1,Monthly Plan,17,77.75455917724109,1
4G,BSNL,Karnataka,-102.82,0,Monthly Plan,3,64.56348341482483,1
4G,BSNL,Maharashtra,-120.0,1,Yearly Plan,10,94.56991806447756,1
4G,BSNL,Uttar Pradesh,-113.78,6,Yearly Plan,42,83.58917712938678,0
4G,BSNL,Kerala,-85.09,11,3 Months Plan,65,38.02854090561469,0
4G,BSNL,Telangana,-103.73,2,3 Months Plan,70,68.03632014782312,0
4G,BSNL,Gujarat,-87.65,2,3 Months Plan,17,39.091805977789576,1
4G,BSNL,Telangana,-120.0,4,Monthly Plan,52,98.39710672199594,0
4G,BSNL,Delhi,-105.83,1,Yearly Plan,21,71.82114558455666,0
4G,BSNL,Tamil Nadu,-102.85,5,3 Months Plan,7,64.90878868423498,1
4G,BSNL,West Bengal,-101.96,1,3 Months Plan,1,61.86910742284854,1
4G,BSNL,Tamil Nadu,-109.06,12,Monthly Plan,27,78.25050893642431,0
4G,BSNL,Delhi,-98.53,5,Monthly Plan,13,58.675027923755295,0
4G,BSNL,Maharashtra,-94.0,11,3 Months Plan,22,51.69452592307362,0
4G,BSNL,Delhi,-80.95,0,Monthly Plan,23,30.00964802675255,1
4G,BSNL,Telangana,-83.19,6,Monthly Plan,22,32.72834846235392,1
4G,BSNL,Kerala,-96.05,1,Yearly Plan,65,55.44512457879289,0
4G,BSNL,Telangana,-95.08,5,3 Months Plan,42,50.88659287574556,0
4G,BSNL,Gujarat,-78.23,1,Yearly Plan,41,21.41708082278029,0
4G,BSNL,Delhi,-104.61,1,Monthly Plan,16,70.62035478504644,1
4G,BSNL,Uttar Pradesh,-92.37,2,3 Months Plan,41,50.72780246709039,0
4G,BSNL,Kerala,-81.66,3,Monthly Plan,15,28.65091112781738,0
4G,BSNL,Delhi,-98.14,6,Monthly Plan,38,57.83970498041236,0
4G,BSNL,Rajasthan,-83.71,0,Yearly Plan,5,32.29535514599656,1
4G,BSNL,West Bengal,-108.63,0,3 Months Plan,17,76.11896717325692,1
4G,BSNL,Uttar Pradesh,-77.0,10,Yearly Plan,24,20.9226911742136,0
4G,BSNL,Delhi,-78.87,1,Monthly Plan,1,26.405527355731152,1
4G,BSNL,Rajasthan,-92.51,3,3 Months Plan,64,48.25626660470049,0
4G,BSNL,Tamil Nadu,-76.54,0,3 Months Plan,5,22.47027375244934,1
4G,BSNL,Gujarat,-84.41,8,3 Months Plan,31,34.75228538525948,0
4G,BSNL,Gujarat,-90.95,2,Monthly Plan,17,45.31431130293074,1
4G,BSNL,Rajasthan,-95.82,0,Yearly Plan,20,54.5038705293948,1
4G,BSNL,Karnataka,-107.81,2,Monthly Plan,12,76.1730577600483,1
4G,BSNL,Rajasthan,-88.53,0,Monthly Plan,3,39.286546243895295,1
4G,BSNL,Maharashtra,-116.09,1,Yearly Plan,28,90.9155202890944,0
4G,BSNL,Telangana,-82.17,4,3 Months Plan,5,29.565520868508305,1
4G,BSNL,Kerala,-83.03,2,3 Months Plan,11,32.29888548061734,1
4G,BSNL,Tamil Nadu,-79.81,3,3 Months Plan,27,27.62988748919176,0
4G,BSNL,Rajasthan,-81.97,0,Monthly Plan,3,32.794923902820635,1
4G,BSNL,Rajasthan,-91.28,1,Yearly Plan,17,45.392380041569226,1
4G,BSNL,West Bengal,-106.69,3,Monthly Plan,2,71.4730252972957,1
4G,BSNL,Rajasthan,-79.97,7,Yearly Plan,21,27.02898488061511,1
4G,BSNL,Telangana,-101.09,7,3 Months Plan,41,63.83741397193794,0
4G,BSNL,West Bengal,-120.0,14,Yearly Plan,26,97.1935430062645,0
4G,BSNL,Delhi,-87.51,3,Yearly Plan,10,39.34935267195448,1
4G,BSNL,Kerala,-104.81,4,Monthly Plan,9,68.97273703946348,1
4G,BSNL,Telangana,-92.55,1,3 Months Plan,65,48.35212294754647,0
4G,BSNL,Kerala,-79.41,9,3 Months Plan,63,26.544622827348363,0
4G,BSNL,Rajasthan,-95.5,7,3 Months Plan,30,53.01418199363346,0
4G,BSNL,Gujarat,-99.28,1,Monthly Plan,3,57.519094331186594,1
4G,BSNL,Rajasthan,-90.34,2,Monthly Plan,19,44.4907285421742,0
4G,BSNL,Rajasthan,-120.0,6,Yearly Plan,17,93.60257622111564,1
4G,BSNL,Telangana,-103.52,13,Monthly Plan,27,67.22766700755254,0
4G,BSNL,Karnataka,-92.68,12,Monthly Plan,65,47.060506040995406,0
4G,BSNL,Maharashtra,-112.51,3,Yearly Plan,7,85.20758106176505,1
4G,BSNL,Maharashtra,-89.94,2,3 Months Plan,14,45.92094975214397,1
4G,BSNL,Karnataka,-89.77,7,Yearly Plan,26,44.11493949700502,0
4G,BSNL,Maharashtra,-103.3,0,3 Months Plan,12,68.80854039772103,1
4G,BSNL,Rajasthan,-85.43,0,Monthly Plan,4,38.54194710033807,1
4G,BSNL,West Bengal,-92.14,5,3 Months Plan,23,48.36339253762139,1
4G,BSNL,Gujarat,-84.23,2,3 Months Plan,13,34.835868211461104,1
4G,BSNL,Uttar Pradesh,-93.51,8,Yearly Plan,38,50.722924425150936,0
4G,BSNL,Uttar Pradesh,-96.07,9,Monthly Plan,38,52.9433167662829,0
4G,BSNL,Delhi,-102.4,10,Monthly Plan,18,65.36458196949539,0
4G,BSNL,Telangana,-105.8,2,Yearly Plan,12,73.84439918124798,1
4G,BSNL,Delhi,-93.92,0,Yearly Plan,9,52.06836041610224,1
4G,BSNL,Karnataka,-101.38,1,Yearly Plan,26,62.602532548842674,0
4G,BSNL,Karnataka,-95.15,2,3 Months Plan,6,50.96082831296562,1
4G,BSNL,West Bengal,-79.94,0,Yearly Plan,10,28.756012119755823,1
4G,BSNL,Uttar Pradesh,-110.35,1,Monthly Plan,20,81.85342691130852,0
4G,BSNL,Tamil Nadu,-85.71,0,Yearly Plan,5,35.20305636757301,1
4G,BSNL,Karnataka,-88.04,3,Monthly Plan,52,38.19733270888964,0
4G,BSNL,Telangana,-95.0,8,Monthly Plan,50,50.3855044507592,0
4G,BSNL,Kerala,-99.23,7,Monthly Plan,16,58.73203370319685,1
4G,BSNL,Kerala,-99.45,4,Monthly Plan,13,60.074844535187246,1
4G,BSNL,Maharashtra,-108.26,6,3 Months Plan,22,76.57804073224935,1
4G,BSNL,Telangana,-100.17,0,Monthly Plan,7,60.99835389647378,1
4G,BSNL,Telangana,-83.87,4,Monthly Plan,7,33.867580243268584,1
4G,BSNL,Karnataka,-120.0,6,Monthly Plan,54,96.72928192544497,0
4G,BSNL,Tamil Nadu,-86.44,9,3 Months Plan,62,38.63804948891277,0
4G,BSNL,Delhi,-84.88,3,Yearly Plan,12,35.14863168414288,1
4G,BSNL,Tamil Nadu,-79.65,5,Monthly Plan,21,25.81958398854288,1
4G,BSNL,Gujarat,-112.48,4,Yearly Plan,48,82.87852727612461,0
4G,BSNL,Rajasthan,-106.87,0,Yearly Plan,18,74.92331871331416,1
4G,BSNL,Kerala,-107.54,1,Yearly Plan,17,74.99904567607314,1
4G,BSNL,Telangana,-104.21,0,Monthly Plan,16,69.76665334289267,1
4G,BSNL,West Bengal,-111.35,3,3 Months Plan,6,81.21834681300784,1
4G,BSNL,Kerala,-93.23,1,Monthly Plan,46,47.983974038474976,0
4G,BSNL,Kerala,-104.33,2,Yearly Plan,21,71.70551619218266,1
4G,BSNL,Uttar Pradesh,-96.49,4,3 Months Plan,41,56.95312536198899,0
4G,BSNL,Delhi,-100.17,12,Monthly Plan,61,63.37988257432784,0
4G,BSNL,Telangana,-82.6,1,Monthly Plan,17,34.183528334402624,1
4G,BSNL,Tamil Nadu,-82.46,3,Monthly Plan,1,32.500792570371104,1
4G,BSNL,Tamil Nadu,-97.12,5,Yearly Plan,20,55.927143182854046,1
4G,BSNL,Maharashtra,-98.08,1,Yearly Plan,13,59.25929775764997,1
4G,BSNL,Gujarat,-92.81,10,Monthly Plan,58,49.76349819980078,0
4G,BSNL,Rajasthan,-87.08,2,3 Months Plan,27,38.74953943824845,0
4G,BSNL,Uttar Pradesh,-103.41,5,3 Months Plan,38,67.37121329092321,0
4G,BSNL,Rajasthan,-87.33,7,3 Months Plan,64,39.71216372935533,0
4G,BSNL,Telangana,-88.47,3,3 Months Plan,23,41.88106329428077,1
4G,BSNL,Karnataka,-87.64,2,3 Months Plan,10,40.04051191078321,1
4G,BSNL,Karnataka,-79.01,1,Monthly Plan,42,23.550194816811864,0
4G,BSNL,Kerala,-100.82,3,Yearly Plan,8,64.59410870605215,1
4G,BSNL,Telangana,-94.09,4,Monthly Plan,40,53.66957088870853,0
4G,BSNL,Delhi,-98.17,6,Monthly Plan,58,57.13760602180786,0
4G,BSNL,Uttar Pradesh,-98.97,11,3 Months Plan,60,61.63535946061558,0
4G,BSNL,Tamil Nadu,-91.68,2,Yearly Plan,66,48.71329959226623,0
4G,BSNL,Telangana,-94.14,1,3 Months Plan,15,51.72788954820571,1
4G,BSNL,Rajasthan,-103.09,1,Yearly Plan,14,67.26280224693362,1
4G,BSNL,Gujarat,-99.23,10,Monthly Plan,54,58.86567622280224,0
4G,BSNL,Delhi,-100.9,5,3 Months Plan,6,63.13003452241668,1
4G,BSNL,Maharashtra,-87.34,3,Yearly Plan,15,38.88110541885297,1
4G,BSNL,West Bengal,-89.25,1,3 Months Plan,19,42.63010160304415,1
4G,BSNL,Kerala,-93.66,7,Yearly Plan,17,51.64227393126216,1
4G,BSNL,Telangana,-89.33,3,3 Months Plan,10,42.61682778143956,1
4G,BSNL,Delhi,-106.0,2,Monthly Plan,17,70.32677907312646,1
4G,BSNL,Uttar Pradesh,-103.97,4,Monthly Plan,51,68.10975311079787,0
4G,BSNL,Gujarat,-109.15,1,Monthly Plan,21,76.28446872774673,1
4G,BSNL,Karnataka,-96.02,6,Yearly Plan,44,55.58428635099742,0
4G,BSNL,Telangana,-78.87,2,Yearly Plan,27,26.71316396032021,0
4G,BSNL,Delhi,-84.05,6,Yearly Plan,29,33.656040351701535,0
4G,BSNL,Maharashtra,-119.12,0,Monthly Plan,22,94.83175154668848,1
4G,BSNL,Karnataka,-87.18,5,3 Months Plan,8,39.33679394788344,1
4G,BSNL,Telangana,-83.55,9,Yearly Plan,41,36.70836418793568,0
4G,BSNL,Gujarat,-84.06,7,Yearly Plan,20,34.4838163398214,0
4G,BSNL,Kerala,-115.94,2,Monthly Plan,46,90.21394359951016,0
4G,BSNL,Kerala,-105.4,1,Yearly Plan,2,70.32124406822876,1
4G,BSNL,Telangana,-83.16,1,3 Months Plan,17,34.96312696140967,1
4G,BSNL,Kerala,-86.61,0,Yearly Plan,9,39.03226061712788,1
4G,BSNL,Gujarat,-85.69,2,Yearly Plan,15,37.11146959173736,1
4G,BSNL,Kerala,-120.0,8,3 Months Plan,32,95.38026946298834,0
4G,BSNL,Uttar Pradesh,-100.19,7,Yearly Plan,45,61.90201947117474,0
4G,BSNL,Delhi,-97.37,1,3 Months Plan,3,55.84038640388139,1
4G,BSNL,Telangana,-98.63,1,Monthly Plan,67,59.90102737528126,0
4G,BSNL,Rajasthan,-110.21,2,Yearly Plan,22,82.18290629782705,1
4G,BSNL,Tamil Nadu,-113.07,1,Yearly Plan,17,82.29746081750118,1
4G,BSNL,Uttar Pradesh,-105.32,1,Monthly Plan,9,71.92740223724371,1
4G,BSNL,Gujarat,-85.53,1,3 Months Plan,13,33.78064488686972,1
4G,BSNL,Karnataka,-86.48,3,3 Months Plan,18,39.13026085764268,1
4G,BSNL,Kerala,-76.6,4,3 Months Plan,37,19.46536976084832,0
4G,BSNL,Gujarat,-91.79,5,Yearly Plan,2,48.12280192626538,1
4G,BSNL,Tamil Nadu,-118.2,10,3 Months Plan,28,92.8550730598237,0
4G,BSNL,Gujarat,-120.0,1,Monthly Plan,15,95.28234648284332,0
4G,BSNL,Karnataka,-109.29,0,Monthly Plan,9,76.59363671728644,1
4G,BSNL,West Bengal,-93.73,7,Monthly Plan,6,51.11543593237064,1
4G,BSNL,Telangana,-98.28,4,Yearly Plan,70,59.74032488973923,0
4G,BSNL,Uttar Pradesh,-97.03,1,3 Months Plan,5,55.637780279273976,1
4G,BSNL,Gujarat,-103.93,1,Yearly Plan,1,65.95828784348072,1
4G,BSNL,West Bengal,-80.82,6,Monthly Plan,68,28.77463422800513,0
4G,BSNL,West Bengal,-93.75,1,3 Months Plan,6,51.25957251578317,1
4G,BSNL,Tamil Nadu,-88.53,3,Yearly Plan,23,41.400237226787546,1
4G,BSNL,Kerala,-101.5,6,Monthly Plan,3,65.61341616210647,1
4G,BSNL,Maharashtra,-109.46,5,Yearly Plan,72,75.99935571662199,0
4G,BSNL,Gujarat,-120.0,5,3 Months Plan,4,96.1431156078427,1
4G,BSNL,Gujarat,-83.24,2,3 Months Plan,2,34.12981840704281,1
4G,BSNL,Uttar Pradesh,-104.77,2,Monthly Plan,20,73.09538458655037,1
4G,BSNL,Karnataka,-99.41,13,3 Months Plan,26,60.75953331097048,0
4G,BSNL,West Bengal,-90.15,4,Monthly Plan,17,46.592392938587686,1
4G,BSNL,Uttar Pradesh,-89.57,11,3 Months Plan,58,44.33750382228189,0
4G,BSNL,Gujarat,-86.01,0,Yearly Plan,11,35.5870830093832,1
4G,BSNL,West Bengal,-87.62,14,Monthly Plan,60,40.37880232886766,0
4G,BSNL,Kerala,-78.43,3,Yearly Plan,13,26.29942829517634,1
4G,BSNL,Telangana,-113.78,1,Monthly Plan,12,83.26933352551814,1
4G,BSNL,Uttar Pradesh,-96.65,3,3 Months Plan,4,57.041073746219006,1
4G,BSNL,Tamil Nadu,-108.48,1,3 Months Plan,45,77.52377100108924,0
4G,BSNL,Rajasthan,-92.46,2,3 Months Plan,14,47.9132399768404,1
4G,BSNL,Delhi,-107.1,8,Monthly Plan,34,74.7026743581527,0
4G,BSNL,Delhi,-88.94,3,Yearly Plan,4,45.55494849303744,1
4G,BSNL,Maharashtra,-116.53,7,3 Months Plan,49,92.18653188666504,0
4G,BSNL,Karnataka,-80.25,8,Yearly Plan,22,27.43901613668464,0
4G,BSNL,Kerala,-92.46,2,Yearly Plan,24,47.73158380742537,1
4G,BSNL,Rajasthan,-84.45,2,3 Months Plan,68,32.15600594788102,0
4G,BSNL,Kerala,-87.21,0,3 Months Plan,10,40.34793435700112,1
4G,BSNL,Gujarat,-118.41,8,3 Months Plan,68,93.20175605144428,0
4G,BSNL,Tamil Nadu,-85.91,3,3 Months Plan,24,35.11661363017665,0
4G,BSNL,Karnataka,-83.78,1,Monthly Plan,9,35.556309479117346,1
4G,BSNL,Tamil Nadu,-109.12,2,Monthly Plan,6,76.03368801683834,1
4G,BSNL,Uttar Pradesh,-109.61,3,3 Months Plan,12,80.24825986361628,1
4G,BSNL,Maharashtra,-89.99,10,3 Months Plan,44,43.06291777004015,0
4G,BSNL,Delhi,-100.81,4,Monthly Plan,21,63.75565884082235,0
4G,BSNL,Delhi,-94.37,2,3 Months Plan,20,53.25274025703951,0
4G,BSNL,Karnataka,-96.6,1,Monthly Plan,5,55.89093318979139,1
4G,BSNL,Kerala,-107.8,7,Monthly Plan,25,75.38982812258939,0
4G,BSNL,Telangana,-83.49,6,Monthly Plan,14,33.681080707080966,1
4G,BSNL,Tamil Nadu,-83.94,6,Yearly Plan,59,34.06455835237736,0
4G,BSNL,Maharashtra,-86.69,7,3 Months Plan,61,38.26639554339523,0
4G,BSNL,Gujarat,-96.42,1,3 Months Plan,8,55.70944635128272,1
4G,BSNL,Delhi,-98.1,3,Yearly Plan,8,59.85526950544888,1
4G,BSNL,Tamil Nadu,-90.91,7,Yearly Plan,41,47.28799917964109,0
4G,BSNL,West Bengal,-82.38,0,Monthly Plan,6,30.44481804554244,1
4G,BSNL,Delhi,-87.39,3,Monthly Plan,1,41.84824426375727,1
4G,BSNL,Tamil Nadu,-90.46,1,Monthly Plan,37,45.052297743922246,0
4G,BSNL,Karnataka,-101.45,4,3 Months Plan,33,64.48128922467738,0
4G,BSNL,Karnataka,-80.63,10,Yearly Plan,59,29.66190346945931,0
4G,BSNL,Karnataka,-88.16,2,Monthly Plan,10,42.055180398991865,1
4G,BSNL,Rajasthan,-91.92,2,Monthly Plan,22,47.43958773223199,0
4G,BSNL,Gujarat,-109.81,2,Yearly Plan,17,75.7255778747318,0
4G,BSNL,Karnataka,-103.5,6,Monthly Plan,1,70.78574894938312,1
4G,BSNL,Karnataka,-100.61,1,3 Months Plan,5,62.81503763217129,1
4G,BSNL,Maharashtra,-101.22,3,Yearly Plan,48,63.44430967703221,0
4G,BSNL,West Bengal,-94.06,3,Yearly Plan,2,50.4446014934385,1
4G,BSNL,Gujarat,-101.74,0,Monthly Plan,10,63.923797351040726,1
4G,BSNL,Karnataka,-107.61,9,Yearly Plan,58,73.55678500100892,0
4G,BSNL,Gujarat,-98.33,3,Yearly Plan,22,57.79544228080694,1
4G,BSNL,Maharashtra,-94.12,0,Yearly Plan,13,49.96180722019465,1
4G,BSNL,Delhi,-96.31,3,3 Months Plan,15,53.81709112661879,1
4G,BSNL,Delhi,-101.96,1,Monthly Plan,4,67.16140303287071,1
4G,BSNL,Kerala,-107.51,12,Yearly Plan,53,72.88416422308198,0
4G,BSNL,Uttar Pradesh,-120.0,1,Monthly Plan,24,97.49041621384058,1
4G,BSNL,Kerala,-81.98,8,Monthly Plan,71,28.485409642252748,0
4G,BSNL,Telangana,-120.0,3,Monthly Plan,24,95.52115920062693,0
4G,BSNL,Delhi,-81.15,11,3 Months Plan,12,28.56288816535228,0
4G,BSNL,West Bengal,-108.9,2,3 Months Plan,58,78.02959010128623,0
4G,BSNL,Karnataka,-99.36,0,Yearly Plan,4,59.074666938415774,1
4G,BSNL,West Bengal,-80.28,6,Yearly Plan,49,28.80342266744996,0
4G,BSNL,Rajasthan,-110.04,5,Monthly Plan,8,80.90283085451672,1
4G,BSNL,Rajasthan,-109.96,4,Monthly Plan,16,79.15754149336588,0
4G,BSNL,Gujarat,-102.77,1,Yearly Plan,17,65.66742147958938,0
4G,BSNL,Telangana,-98.29,0,Yearly Plan,12,56.84492608468986,1
4G,BSNL,West Bengal,-88.86,1,Monthly Plan,4,43.43120468952898,1
4G,BSNL,Rajasthan,-84.24,6,Monthly Plan,53,33.60300656223386,0
4G,BSNL,Delhi,-80.98,2,Yearly Plan,24,30.3336707386182,1
4G,BSNL,Uttar Pradesh,-120.0,9,3 Months Plan,14,96.05123366835124,0
4G,BSNL,Karnataka,-104.88,8,Monthly Plan,10,67.62211247910864,1
4G,BSNL,Tamil Nadu,-86.39,5,3 Months Plan,40,37.1463287770106,0
4G,BSNL,Karnataka,-79.41,2,Yearly Plan,67,27.41742233718268,0
4G,BSNL,West Bengal,-113.19,5,3 Months Plan,71,84.79435891600045,0
4G,BSNL,Gujarat,-99.68,0,Yearly Plan,22,59.59940128803527,1
4G,BSNL,Gujarat,-84.21,5,3 Months Plan,15,35.84339201521627,0
4G,BSNL,Rajasthan,-96.44,2,Yearly Plan,6,58.1124950940678,1
4G,BSNL,Gujarat,-105.53,3,Monthly Plan,35,73.12795968216743,0
4G,BSNL,Telangana,-85.64,1,3 Months Plan,35,38.42964550463911,0
4G,BSNL,Uttar Pradesh,-104.07,12,Yearly Plan,72,68.96139907488832,0
4G,BSNL,Telangana,-78.65,2,Yearly Plan,1,25.19872458590643,1
4G,BSNL,Delhi,-97.22,1,Monthly Plan,21,56.85844438983181,0
4G,BSNL,Kerala,-100.0,5,3 Months Plan,17,63.36615506380186,1
4G,BSNL,Rajasthan,-95.07,2,Yearly Plan,20,53.29651396106412,1
4G,BSNL,Gujarat,-84.78,0,3 Months Plan,22,38.07258648171168,1
4G,BSNL,Tamil Nadu,-103.82,1,3 Months Plan,17,68.8543379541703,1
