Network_type,Operator,State,Signal_strength_dBm,No_of_Issues_Resolved,Plan_Type,Months_Active,Latency_Score,Customer_Churn
4G,Vi,Gujarat,-77.49,5,3 Months Plan,33,24.728244466936435,0
5G,Vi,West Bengal,-84.86,1,Yearly Plan,6,31.86306890613489,1
5G,Vi,Delhi,-95.66,3,Monthly Plan,12,52.05645863559221,0
4G,Vi,West Bengal,-104.69,0,Yearly Plan,19,72.4621858826149,1
4G,Vi,Kerala,-96.19,12,Monthly Plan,12,57.39478621477233,0
5G,Vi,Kerala,-85.55,2,Monthly Plan,22,34.5555164935354,1
4G,Vi,Karnataka,-115.85,7,3 Months Plan,17,89.05692655701421,1
4G,Vi,Rajasthan,-105.97,10,Yearly Plan,12,74.17807540892312,0
4G,Vi,Maharashtra,-89.87,0,Yearly Plan,2,42.276844603434114,1
5G,Vi,West Bengal,-84.39,4,Monthly Plan,23,29.83565438720796,1
4G,Vi,Tamil Nadu,-120.0,5,Yearly Plan,60,98.25179818129769,0
5G,Vi,Delhi,-108.15,2,Yearly Plan,2,72.57959654906509,1
5G,Vi,West Bengal,-75.12,0,Monthly Plan,23,12.603188175639527,1
5G,Vi,West Bengal,-92.74,4,Yearly Plan,23,44.48179187565832,1
5G,Vi,Rajasthan,-94.03,9,Yearly Plan,24,51.14656238747073,0
4G,Vi,Karnataka,-90.31,9,Monthly Plan,42,45.14807545856246,0
5G,Vi,Delhi,-108.75,1,3 Months Plan,16,76.17439435355993,1
4G,Vi,Uttar Pradesh,-88.55,1,Yearly Plan,20,44.92017496975147,0
4G,Vi,Karnataka,-80.95,3,Monthly Plan,6,29.62430735489521,1
4G,Vi,Delhi,-101.84,11,Yearly Plan,32,64.96685497729153,0
4G,Vi,Rajasthan,-81.56,3,Yearly Plan,59,28.76196644356304,0
5G,Vi,Tamil Nadu,-98.86,7,Yearly Plan,8,58.885685332275706,1
5G,Vi,Kerala,-92.0,2,Monthly Plan,18,46.24464267228359,1
4G,Vi,Telangana,-94.1,9,Yearly Plan,20,50.453571466806046,0
5G,Vi,Karnataka,-88.96,1,Monthly Plan,2,40.5614946935893,1
5G,Vi,West Bengal,-89.66,4,Monthly Plan,1,41.22408592241526,1
4G,Vi,Tamil Nadu,-86.45,2,Monthly Plan,17,38.39991170795778,0
4G,Vi,Tamil Nadu,-107.14,0,3 Months Plan,9,73.398032688751,1
4G,Vi,Rajasthan,-86.31,0,Yearly Plan,8,36.35291011953362,1
4G,Vi,Kerala,-83.57,0,3 Months Plan,8,35.238413100833874,1
4G,Vi,Uttar Pradesh,-87.32,1,Yearly Plan,3,41.01795519132775,1
5G,Vi,Rajasthan,-86.91,4,Monthly Plan,3,36.63348790983763,1
5G,Vi,Kerala,-88.02,3,Yearly Plan,64,37.53364202694591,0
4G,Vi,Maharashtra,-80.32,0,Yearly Plan,14,25.32418633258914,1
4G,Vi,Rajasthan,-87.36,5,Yearly Plan,16,40.555893268702576,1
4G,Vi,Gujarat,-113.7,1,Yearly Plan,57,85.48013854104703,0
5G,Vi,Kerala,-90.25,7,Yearly Plan,62,41.843045317172944,0
5G,Vi,Delhi,-91.47,11,Monthly Plan,72,45.26265051356371,0
4G,Vi,West Bengal,-98.65,3,Yearly Plan,60,57.23415625053557,0
5G,Vi,West Bengal,-91.17,0,3 Months Plan,19,41.25627397780692,1
5G,Vi,Delhi,-99.69,9,Yearly Plan,67,59.50728588399083,0
5G,Vi,Kerala,-118.96,4,Yearly Plan,17,95.52274224754976,1
4G,Vi,Maharashtra,-103.34,1,3 Months Plan,5,67.42353889626764,1
4G,Vi,Rajasthan,-93.23,2,Monthly Plan,14,49.60692691072091,1
4G,Vi,Kerala,-77.22,5,Monthly Plan,21,22.537457578328947,1
4G,Vi,Maharashtra,-90.31,2,3 Months Plan,3,46.12929026202082,1
5G,Vi,Delhi,-96.42,0,Yearly Plan,3,51.54512844214136,1
4G,Vi,Gujarat,-90.8,0,3 Months Plan,24,46.25476229472573,1
4G,Vi,Delhi,-83.72,0,Yearly Plan,2,33.072078430959685,1
5G,Vi,Uttar Pradesh,-86.96,1,Monthly Plan,51,37.48418869474029,0
5G,Vi,Rajasthan,-96.59,11,Monthly Plan,48,54.16330281738572,0
4G,Vi,West Bengal,-98.86,1,Yearly Plan,7,57.96764750638125,1
4G,Vi,Delhi,-81.09,6,3 Months Plan,23,29.52936304818649,0
5G,Vi,Kerala,-90.89,13,Yearly Plan,28,42.99639752605894,0
4G,Vi,Kerala,-97.3,2,Yearly Plan,72,58.71327426205575,0
4G,Vi,Maharashtra,-83.54,1,Monthly Plan,23,34.870627819326,1
4G,Vi,Kerala,-113.74,1,3 Months Plan,19,85.08412377514719,1
4G,Vi,Delhi,-91.95,7,3 Months Plan,6,47.26876893340663,1
5G,Vi,West Bengal,-79.88,1,Yearly Plan,15,24.475820313333628,1
5G,Vi,Maharashtra,-74.53,4,Monthly Plan,69,11.615228275991877,0
4G,Vi,Karnataka,-105.8,8,Monthly Plan,72,71.78154520009564,0
4G,Vi,Telangana,-102.76,8,Monthly Plan,47,67.66577754572856,0
4G,Vi,Rajasthan,-91.74,0,Monthly Plan,23,48.845060638179625,1
4G,Vi,Uttar Pradesh,-93.03,0,Monthly Plan,8,48.030862327132255,1
5G,Vi,Uttar Pradesh,-92.22,5,3 Months Plan,18,44.01957806510205,1
4G,Vi,West Bengal,-89.84,3,Yearly Plan,17,42.55641942142084,1
5G,Vi,Delhi,-97.76,3,Yearly Plan,22,54.03158806402669,0
4G,Vi,Uttar Pradesh,-94.21,4,Monthly Plan,19,53.17956146283493,1
4G,Vi,Kerala,-90.63,2,3 Months Plan,58,47.61387749525692,0
4G,Vi,Maharashtra,-103.54,9,3 Months Plan,22,67.60567371611923,0
4G,Vi,Kerala,-110.57,2,Yearly Plan,21,80.24885718649635,1
4G,Vi,West Bengal,-79.56,1,Monthly Plan,2,26.64755174910412,1
4G,Vi,Telangana,-84.13,1,Yearly Plan,22,32.12298416951918,1
4G,Vi,Maharashtra,-88.79,5,Yearly Plan,58,42.01520219379869,0
5G,Vi,Delhi,-89.74,0,Monthly Plan,16,40.69979404422952,1
4G,Vi,Tamil Nadu,-81.05,10,Monthly Plan,32,31.47671029600448,0
5G,Vi,Telangana,-74.14,2,3 Months Plan,24,14.366296102942576,0
4G,Vi,Delhi,-85.83,7,Yearly Plan,49,38.96150234917144,0
5G,Vi,Maharashtra,-93.27,1,3 Months Plan,19,48.81404490275793,1
5G,Vi,Telangana,-81.99,1,Monthly Plan,24,27.836278887115224,1
5G,Vi,Rajasthan,-88.41,9,Monthly Plan,25,37.32213726053665,0
4G,Vi,Rajasthan,-96.98,0,Monthly Plan,2,59.00311131717584,1
5G,Vi,Delhi,-82.5,4,Yearly Plan,41,25.25286628958172,0
4G,Vi,Uttar Pradesh,-119.97,3,Yearly Plan,18,93.85289651366774,1
4G,Vi,West Bengal,-79.75,8,Yearly Plan,59,27.77170371819197,0
4G,Vi,Maharashtra,-87.56,2,Monthly Plan,1,38.03652968985821,1
5G,Vi,Karnataka,-85.75,2,Monthly Plan,19,33.658106691587584,1
5G,Vi,Tamil Nadu,-76.53,1,Monthly Plan,12,15.196589620123582,1
5G,Vi,Kerala,-97.77,5,Monthly Plan,3,55.83335230257942,1
4G,Vi,Tamil Nadu,-86.31,12,Monthly Plan,14,37.58469954823996,0
4G,Vi,Uttar Pradesh,-93.85,4,Monthly Plan,13,51.05186316758639,1
4G,Vi,Tamil Nadu,-93.5,14,3 Months Plan,70,52.39615492695921,0
4G,Vi,Telangana,-90.35,7,Yearly Plan,60,46.562775316771216,0
5G,Vi,Maharashtra,-86.41,7,Yearly Plan,54,36.261539989101706,0
5G,Vi,Delhi,-89.37,3,3 Months Plan,8,39.044538041945465,1
5G,Vi,Karnataka,-104.59,0,3 Months Plan,4,66.78369304992691,1
5G,Vi,West Bengal,-116.08,1,3 Months Plan,11,89.25090720880459,1
5G,Vi,West Bengal,-74.6,0,Monthly Plan,5,14.124372109509324,1
5G,Vi,Kerala,-76.49,0,Monthly Plan,18,15.197343084542918,1
5G,Vi,Maharashtra,-94.51,6,3 Months Plan,42,51.88801699021204,0
5G,Vi,Rajasthan,-107.71,1,3 Months Plan,23,75.0854987458455,1
4G,Vi,Karnataka,-96.51,0,Monthly Plan,20,55.86251385230827,1
5G,Vi,Gujarat,-81.84,0,Yearly Plan,22,26.254162060597093,1
4G,Vi,Kerala,-88.71,0,Monthly Plan,19,40.629927616112425,1
4G,Vi,Telangana,-94.03,8,3 Months Plan,4,50.97196563786677,1
4G,Vi,Gujarat,-79.24,0,Monthly Plan,9,26.5946284166762,1
4G,Vi,West Bengal,-104.95,1,3 Months Plan,19,71.80704793392397,0
5G,Vi,Kerala,-92.47,4,3 Months Plan,63,45.991372677528496,0
5G,Vi,Delhi,-85.96,1,3 Months Plan,16,32.92262486823379,1
5G,Vi,Rajasthan,-90.84,5,Yearly Plan,33,44.10414629500521,0
5G,Vi,West Bengal,-73.54,0,Yearly Plan,16,8.760033664814749,1
4G,Vi,Telangana,-77.82,2,Yearly Plan,21,23.324320109696213,1
4G,Vi,Karnataka,-109.53,7,Monthly Plan,67,80.77236095346487,0
5G,Vi,Rajasthan,-101.99,0,Yearly Plan,8,65.2897123989253,1
4G,Vi,Kerala,-84.58,1,Yearly Plan,34,35.87084788390432,0
5G,Vi,Telangana,-94.31,12,Yearly Plan,39,49.03189670204061,0
5G,Vi,West Bengal,-78.43,2,Monthly Plan,6,19.70892141710076,1
4G,Vi,Kerala,-103.07,1,3 Months Plan,12,67.37416543048754,1
5G,Vi,Kerala,-81.85,0,Monthly Plan,19,25.60257247452589,1
5G,Vi,Delhi,-94.58,8,Monthly Plan,51,52.215607296654085,0
4G,Vi,Tamil Nadu,-98.27,13,Monthly Plan,66,60.59631678793821,0
4G,Vi,Rajasthan,-85.53,2,Monthly Plan,17,36.7795711596484,1
4G,Vi,Maharashtra,-94.76,1,Monthly Plan,21,54.046809668464576,1
5G,Vi,West Bengal,-74.53,9,Monthly Plan,52,14.440915962025247,0
4G,Vi,West Bengal,-96.48,8,Yearly Plan,29,56.08529316088229,0
5G,Vi,Rajasthan,-94.68,3,3 Months Plan,21,50.187165528986654,1
5G,Vi,Telangana,-91.77,8,3 Months Plan,36,45.07814190717392,0
4G,Vi,West Bengal,-82.57,3,3 Months Plan,23,30.15560760827608,0
5G,Vi,Karnataka,-76.22,0,3 Months Plan,24,15.78262269687644,1
5G,Vi,Maharashtra,-80.63,7,Monthly Plan,2,21.29802878206833,1
5G,Vi,West Bengal,-71.71,4,3 Months Plan,10,7.884239932273654,1
5G,Vi,Kerala,-79.11,5,Monthly Plan,45,22.01528134660746,0
4G,Vi,Kerala,-97.28,10,Monthly Plan,39,55.42563715228048,0
5G,Vi,Telangana,-84.42,2,Monthly Plan,17,31.11439577697507,1
4G,Vi,Delhi,-106.01,4,Yearly Plan,11,70.93130676307739,1
4G,Vi,Gujarat,-79.29,6,Monthly Plan,21,26.93942214753556,1
4G,Vi,Maharashtra,-120.0,6,Monthly Plan,12,96.6614747275338,0
4G,Vi,Uttar Pradesh,-96.96,8,Yearly Plan,15,53.98444293792617,0
5G,Vi,Uttar Pradesh,-76.85,4,3 Months Plan,9,15.424072593012978,1
4G,Vi,Gujarat,-96.21,9,3 Months Plan,44,56.16409194110703,0
4G,Vi,Uttar Pradesh,-120.0,2,Monthly Plan,21,94.9016148132959,1
4G,Vi,Kerala,-88.86,4,Monthly Plan,23,41.86528299512766,1
5G,Vi,Gujarat,-87.97,3,Monthly Plan,6,39.87715515719036,1
5G,Vi,Kerala,-80.49,1,Monthly Plan,5,23.771282942530192,1
4G,Vi,Rajasthan,-85.44,4,Monthly Plan,21,37.70058163032233,1
4G,Vi,Gujarat,-101.03,1,Yearly Plan,21,66.08705599399156,1
5G,Vi,Delhi,-84.47,0,3 Months Plan,9,31.170695685113724,1
4G,Vi,Telangana,-120.0,2,Monthly Plan,14,93.7060884862484,1
4G,Vi,Uttar Pradesh,-100.05,0,Yearly Plan,19,59.643326307452725,1
5G,Vi,Karnataka,-82.04,0,3 Months Plan,13,28.06718479138961,1
5G,Vi,Delhi,-91.25,1,Yearly Plan,8,44.3055521023475,1
4G,Vi,Telangana,-90.77,11,Monthly Plan,49,46.8028128773659,0
5G,Vi,Gujarat,-92.67,5,Yearly Plan,23,47.56813134015591,0
5G,Vi,Rajasthan,-88.83,2,Monthly Plan,12,39.048302405115706,1
4G,Vi,Maharashtra,-104.78,5,Yearly Plan,17,68.17356837450126,1
4G,Vi,Telangana,-77.43,7,Yearly Plan,5,21.95858939742685,1
4G,Vi,Telangana,-98.51,10,Monthly Plan,21,56.15370177341791,0
4G,Vi,Gujarat,-101.7,0,Monthly Plan,7,62.36780900084794,1
5G,Vi,Maharashtra,-82.67,8,Monthly Plan,72,27.26052211618409,0
5G,Vi,Rajasthan,-81.58,10,Yearly Plan,50,28.26173360960397,0
4G,Vi,Maharashtra,-90.86,3,Yearly Plan,2,45.64494893687554,1
4G,Vi,Delhi,-95.82,9,Monthly Plan,32,52.01547214063192,0
4G,Vi,Kerala,-101.66,0,3 Months Plan,24,62.864967738246825,1
5G,Vi,Telangana,-100.45,1,Yearly Plan,23,61.83143581491881,0
4G,Vi,Karnataka,-83.32,1,Yearly Plan,5,33.18358820383898,1
5G,Vi,Rajasthan,-108.29,4,Monthly Plan,24,72.83566030547142,1
5G,Vi,West Bengal,-89.07,1,Monthly Plan,6,41.54489251232325,1
5G,Vi,Uttar Pradesh,-83.3,1,Monthly Plan,4,29.078524479494305,1
5G,Vi,West Bengal,-110.95,4,Monthly Plan,18,81.82102291910512,1
5G,Vi,Delhi,-96.52,2,3 Months Plan,19,53.99314056411738,1
5G,Vi,Maharashtra,-97.23,3,3 Months Plan,68,55.61068879460803,0
5G,Vi,Maharashtra,-85.15,6,Yearly Plan,69,32.2729477506011,0
4G,Vi,Kerala,-101.21,12,3 Months Plan,44,60.80587578819024,0
5G,Vi,Uttar Pradesh,-92.0,1,Monthly Plan,67,46.226911667201634,0
4G,Vi,Tamil Nadu,-92.26,3,Monthly Plan,17,50.53236962839633,1
4G,Vi,Delhi,-95.71,11,Yearly Plan,63,53.77078437683052,0
4G,Vi,West Bengal,-95.27,2,3 Months Plan,17,53.41504341840643,1
4G,Vi,Maharashtra,-83.19,3,Monthly Plan,14,34.688855120291976,1
4G,Vi,Gujarat,-95.67,4,Monthly Plan,13,53.62956140753951,1
4G,Vi,Telangana,-106.08,2,3 Months Plan,14,69.98275567910997,1
4G,Vi,Karnataka,-100.49,6,Monthly Plan,48,64.48324420100212,0
4G,Vi,Uttar Pradesh,-77.53,1,Yearly Plan,3,23.85108246884969,1
4G,Vi,West Bengal,-84.31,0,3 Months Plan,15,36.08209346424606,1
5G,Vi,West Bengal,-100.62,1,3 Months Plan,39,61.520740560288665,0
5G,Vi,Gujarat,-94.11,4,Yearly Plan,66,50.02047674455079,0
4G,Vi,Gujarat,-88.4,1,Yearly Plan,18,39.46897983219607,1
4G,Vi,Telangana,-82.34,0,3 Months Plan,5,31.209373718403043,1
4G,Vi,Telangana,-108.85,4,3 Months Plan,32,77.03341604351847,0
5G,Vi,Rajasthan,-94.21,3,3 Months Plan,39,49.98098015490541,0
5G,Vi,Delhi,-103.29,2,Yearly Plan,17,64.99775118106844,1
4G,Vi,Delhi,-94.68,13,Monthly Plan,56,53.65754034414321,0
4G,Vi,West Bengal,-94.93,8,3 Months Plan,36,51.52746494426187,0
5G,Vi,Gujarat,-105.7,6,Monthly Plan,37,68.96519429997092,0
5G,Vi,Uttar Pradesh,-95.81,8,Monthly Plan,36,52.97830824538836,0
5G,Vi,Rajasthan,-81.65,0,Monthly Plan,9,24.55026168833648,1
4G,Vi,Karnataka,-81.59,7,3 Months Plan,8,32.26942381672274,1
5G,Vi,Gujarat,-86.82,6,3 Months Plan,50,37.60690104948696,0
4G,Vi,Uttar Pradesh,-101.03,0,Monthly Plan,5,66.36041132209735,1
4G,Vi,Delhi,-90.41,0,Monthly Plan,22,44.05541411839605,1
4G,Vi,Telangana,-96.98,4,Monthly Plan,20,54.47388179176961,1
5G,Vi,Tamil Nadu,-79.2,0,3 Months Plan,13,22.035054169833472,1
4G,Vi,Telangana,-91.21,5,Monthly Plan,3,45.91239157527198,1
4G,Vi,Kerala,-120.0,2,Monthly Plan,57,95.48342925918747,0
5G,Vi,Tamil Nadu,-99.09,3,Yearly Plan,18,59.11941373145443,1
5G,Vi,Gujarat,-90.71,5,3 Months Plan,21,40.63948550455364,1
4G,Vi,Delhi,-90.63,3,3 Months Plan,40,44.844167486995055,0
4G,Vi,Tamil Nadu,-97.14,1,Monthly Plan,2,57.99801120926495,1
5G,Vi,Maharashtra,-75.33,6,Yearly Plan,42,14.1235698527349,0
5G,Vi,Delhi,-90.42,10,Monthly Plan,39,42.920723082223816,0
4G,Vi,Rajasthan,-88.57,1,Yearly Plan,8,40.71120913846578,1
5G,Vi,Delhi,-80.83,8,3 Months Plan,69,26.11336604887853,0
5G,Vi,Telangana,-88.82,3,3 Months Plan,13,41.27459299716186,1
5G,Vi,Maharashtra,-95.27,0,Yearly Plan,17,50.740996133730654,1
4G,Vi,Kerala,-99.72,7,3 Months Plan,40,62.09779330004989,0
4G,Vi,Tamil Nadu,-105.69,1,Yearly Plan,68,70.7284144858452,0
5G,Vi,Tamil Nadu,-93.3,13,3 Months Plan,54,46.80768967885348,0
4G,Vi,West Bengal,-83.03,4,Yearly Plan,19,30.90992721548632,1
5G,Vi,Karnataka,-78.15,12,Monthly Plan,37,20.8100189826929,0
4G,Vi,Maharashtra,-88.9,2,Monthly Plan,7,43.542007880012825,1
5G,Vi,Telangana,-78.38,6,Monthly Plan,4,19.67301636955489,1
4G,Vi,West Bengal,-82.66,0,3 Months Plan,5,31.94415096585386,1
5G,Vi,Maharashtra,-83.81,7,Monthly Plan,16,28.16017221662094,0
4G,Vi,Telangana,-85.21,0,3 Months Plan,13,35.86431451920187,1
5G,Vi,Gujarat,-81.84,10,3 Months Plan,18,27.70564983427521,0
4G,Vi,Karnataka,-85.83,1,3 Months Plan,21,38.85649104650104,0
5G,Vi,Maharashtra,-82.11,9,3 Months Plan,12,26.32955869220164,0
4G,Vi,Karnataka,-97.02,6,Monthly Plan,37,54.67682624668265,0
5G,Vi,West Bengal,-85.56,1,Monthly Plan,11,33.418069721676005,1
4G,Vi,Maharashtra,-88.99,8,Monthly Plan,12,42.810024179549615,0
4G,Vi,Rajasthan,-80.63,3,Monthly Plan,16,25.56490568948085,1
5G,Vi,Karnataka,-95.36,11,Yearly Plan,71,53.16436370771758,0
5G,Vi,Telangana,-76.93,5,Monthly Plan,57,20.025769240298267,0
5G,Vi,Telangana,-73.91,2,Monthly Plan,1,11.357852524022796,1
4G,Vi,Rajasthan,-85.48,1,Monthly Plan,21,37.35427716795117,1
5G,Vi,Telangana,-90.03,4,Monthly Plan,23,41.26616514272735,0
5G,Vi,Delhi,-76.94,1,Monthly Plan,22,16.35122592064394,1
5G,Vi,Uttar Pradesh,-113.44,5,Monthly Plan,14,85.63313827047125,0
4G,Vi,Tamil Nadu,-95.84,3,Yearly Plan,15,55.12779813942706,1
5G,Vi,Kerala,-75.38,1,Monthly Plan,21,14.729912266537845,1
4G,Vi,Kerala,-82.46,0,3 Months Plan,9,31.62268872386147,1
4G,Vi,Delhi,-85.79,5,Yearly Plan,44,37.612533950543,0
4G,Vi,Delhi,-76.21,6,Yearly Plan,27,21.636399034380773,0
4G,Vi,Karnataka,-95.1,6,Yearly Plan,3,51.41832839298877,1
5G,Vi,Delhi,-98.02,1,Monthly Plan,18,54.35122459680374,1
4G,Vi,Rajasthan,-96.82,0,Yearly Plan,2,55.43520804340582,1
4G,Vi,Delhi,-83.5,1,Yearly Plan,12,35.540980944151244,0
5G,Vi,Gujarat,-104.07,10,Monthly Plan,62,68.72762172410144,0
5G,Vi,Kerala,-99.4,0,Monthly Plan,22,57.45861527571269,1
4G,Vi,Kerala,-91.09,6,Yearly Plan,72,45.49937396551827,0
4G,Vi,Maharashtra,-97.39,2,Monthly Plan,69,56.27249186833172,0
4G,Vi,Tamil Nadu,-114.48,1,Monthly Plan,17,86.61593877822413,1
5G,Vi,Tamil Nadu,-75.21,3,Yearly Plan,20,15.401454959380434,1
5G,Vi,Uttar Pradesh,-99.76,3,Monthly Plan,46,60.32957403780603,0
5G,Vi,Kerala,-87.21,0,Monthly Plan,1,36.930277203859085,1
4G,Vi,Telangana,-78.93,2,Yearly Plan,13,22.3158424513806,1
5G,Vi,Uttar Pradesh,-91.98,2,3 Months Plan,23,43.34083272840878,1
5G,Vi,Uttar Pradesh,-76.32,4,3 Months Plan,24,16.934657716008914,1
4G,Vi,Delhi,-98.21,2,Monthly Plan,19,57.29305198152779,1
4G,Vi,Gujarat,-88.72,3,3 Months Plan,63,41.172675289806506,0
4G,Vi,Karnataka,-99.2,7,Monthly Plan,19,61.24675655365629,1
5G,Vi,Tamil Nadu,-119.36,3,Monthly Plan,65,93.60138238554856,0
5G,Vi,Tamil Nadu,-99.81,0,3 Months Plan,8,57.67440427488632,1
4G,Vi,Kerala,-96.77,2,Monthly Plan,8,56.98278250863782,1
4G,Vi,Maharashtra,-84.46,3,Monthly Plan,68,34.69832036034307,0
5G,Vi,West Bengal,-92.65,1,Monthly Plan,15,46.92646091423745,1
4G,Vi,Uttar Pradesh,-114.37,1,3 Months Plan,32,86.44359873829963,0
4G,Vi,Delhi,-84.55,6,3 Months Plan,72,37.652561269486704,0
4G,Vi,Delhi,-96.68,0,3 Months Plan,22,54.41283474454933,1
4G,Vi,Tamil Nadu,-96.76,0,3 Months Plan,21,56.16725477759513,1
5G,Vi,Uttar Pradesh,-86.65,0,Monthly Plan,23,34.351625142708414,1
5G,Vi,West Bengal,-92.75,7,Monthly Plan,55,49.13019020079298,0
4G,Vi,Uttar Pradesh,-79.48,0,3 Months Plan,16,24.052482654278386,1
4G,Vi,Maharashtra,-92.72,9,Yearly Plan,41,48.97738651345738,0
4G,Vi,Delhi,-84.86,0,Monthly Plan,5,34.60478365535756,1
4G,Vi,Tamil Nadu,-100.32,1,Monthly Plan,33,59.67368730683798,0
4G,Vi,Maharashtra,-81.64,2,Yearly Plan,5,29.040023748917665,1
4G,Vi,Karnataka,-81.57,0,Yearly Plan,2,29.283312151608783,1
4G,Vi,Uttar Pradesh,-102.58,8,Monthly Plan,21,65.85857377667203,1
4G,Vi,Tamil Nadu,-87.14,4,Monthly Plan,42,40.34385401814992,0
4G,Vi,Tamil Nadu,-91.46,8,Monthly Plan,22,46.476034685162645,0
4G,Vi,Delhi,-97.64,0,Monthly Plan,19,57.724324569490136,1
4G,Vi,Delhi,-108.0,0,Monthly Plan,17,73.97696844587261,1
5G,Vi,Gujarat,-95.72,0,Yearly Plan,8,52.59883500100918,1
4G,Vi,Karnataka,-82.31,13,3 Months Plan,17,29.619190178584976,0
5G,Vi,Uttar Pradesh,-82.87,2,Yearly Plan,54,32.49442079575814,0
4G,Vi,Uttar Pradesh,-104.17,0,Monthly Plan,14,67.47814835597356,1
5G,Vi,Maharashtra,-93.68,2,Yearly Plan,61,49.27698189992169,0
4G,Vi,Uttar Pradesh,-82.38,4,Yearly Plan,14,31.66068487381393,0
5G,Vi,Kerala,-89.89,3,Monthly Plan,2,40.86460596314516,1
5G,Vi,Tamil Nadu,-84.64,5,Monthly Plan,66,32.21619494412582,0
4G,Vi,Kerala,-110.55,4,3 Months Plan,21,78.0598759384841,1
5G,Vi,Karnataka,-111.97,6,Yearly Plan,15,81.16185379172524,0
4G,Vi,Tamil Nadu,-89.28,0,Yearly Plan,13,41.26347797215573,1
4G,Vi,Tamil Nadu,-105.11,12,3 Months Plan,63,70.20692025211893,0
4G,Vi,Telangana,-96.39,3,Yearly Plan,14,56.55978164813516,0
5G,Vi,Rajasthan,-77.79,2,Yearly Plan,21,18.364431155936327,1
4G,Vi,Delhi,-84.79,0,Yearly Plan,14,35.60828836333881,1
5G,Vi,Maharashtra,-102.54,0,Monthly Plan,4,65.05394785453976,1
5G,Vi,Gujarat,-100.91,4,Monthly Plan,17,60.825650762854245,1
5G,Vi,Telangana,-96.32,1,Yearly Plan,7,49.21207994004458,1
4G,Vi,West Bengal,-106.72,10,Monthly Plan,28,73.80445246724993,0
4G,Vi,Maharashtra,-114.91,1,Monthly Plan,14,87.30011713172374,0
5G,Vi,West Bengal,-87.98,0,3 Months Plan,15,36.12040594272281,1
5G,Vi,Rajasthan,-73.34,0,3 Months Plan,19,10.7096103641553,1
4G,Vi,Rajasthan,-83.99,6,Monthly Plan,12,34.96240834544091,0
