date,state,city,area,tower_id,network_type,day_of_week,is_weekend,month,signal_strength_dbm,latency_ms,throughput_mbps,operator,signal_category,latency_category,throughput_category
2025-08-01,Maharashtra,Pune,Kothrud,TWR_1196,4G,Friday,0,August,-78.78893956862503,32.359960013091,19.956053406659883,Airtel,Excellent,Medium,Low Speed
2025-08-01,Maharashtra,Pune,Kothrud,TWR_1196,4G,Friday,0,August,-80.68320757964584,28.675532481007803,15.796758233913906,BSNL,Good,Low (Optimal),Low Speed
2025-08-01,Maharashtra,Pune,Kothrud,TWR_1196,4G,Friday,0,August,-73.68002369506517,21.31540740784731,20.920983326707045,Jio,Excellent,Low (Optimal),Moderate
2025-08-01,Maharashtra,Pune,Kothrud,TWR_1196,4G,Friday,0,August,-80.06587250471411,17.791786466135903,23.36504142963028,Vi,Good,Low (Optimal),Moderate
2025-08-01,Maharashtra,Pune,Viman Nagar,TWR_1197,4G,Friday,0,August,-86.1430684128129,15.851552219445498,35.81929275233259,Airtel,Good,Low (Optimal),Moderate
2025-08-01,Maharashtra,Pune,Viman Nagar,TWR_1197,4G,Friday,0,August,-81.59931033496933,17.96361170051358,37.15831938483912,BSNL,Good,Low (Optimal),Moderate
2025-08-01,Maharashtra,Pune,Viman Nagar,TWR_1197,4G,Friday,0,August,-78.18710280635179,27.523272828014285,27.985473250519046,Jio,Excellent,Low (Optimal),Moderate
2025-08-01,Maharashtra,Pune,Viman Nagar,TWR_1197,4G,Friday,0,August,-79.6466880427703,16.766457819441737,30.375710292085156,Vi,Excellent,Low (Optimal),Moderate
2025-08-01,Tamil Nadu,Chennai,Adyar,TWR_1136,4G,Friday,0,August,-79.19463392455361,72.3159238765575,34.64716962639091,Airtel,Excellent,High (Poor),Moderate
2025-08-01,Tamil Nadu,Chennai,Adyar,TWR_1136,4G,Friday,0,August,-81.81593021557228,70.2417217793293,26.61610347828268,BSNL,Good,High (Poor),Moderate
2025-08-01,Tamil Nadu,Chennai,Adyar,TWR_1136,4G,Friday,0,August,-81.44231715563294,70.2533635511057,31.04253273546034,Jio,Good,High (Poor),Moderate
2025-08-01,Tamil Nadu,Chennai,Adyar,TWR_1136,4G,Friday,0,August,-78.7620972488854,53.49041831712487,36.505009934636035,Vi,Excellent,Medium,Moderate
2025-08-01,Tamil Nadu,Chennai,Anna Nagar,TWR_1137,4G,Friday,0,August,-71.96411519127639,72.18894767609939,29.900812196630383,Airtel,Excellent,High (Poor),Moderate
2025-08-01,Tamil Nadu,Chennai,Anna Nagar,TWR_1137,4G,Friday,0,August,-70.82111119797372,65.92056922973953,32.53422621201423,BSNL,Excellent,High (Poor),Moderate
2025-08-01,Tamil Nadu,Chennai,Anna Nagar,TWR_1137,4G,Friday,0,August,-71.30220047595849,56.894595855362624,33.33713412883929,Jio,Excellent,Medium,Moderate
2025-08-01,Tamil Nadu,Chennai,Anna Nagar,TWR_1137,4G,Friday,0,August,-73.58741681426531,72.98519244452412,32.31268511309164,Vi,Excellent,High (Poor),Moderate
2025-08-01,Tamil Nadu,Coimbatore,Gandhipuram,TWR_1152,5G,Friday,0,August,-94.07853339943222,66.28078193180501,26.85494776719281,Airtel,Fair,High (Poor),Moderate
2025-08-01,Tamil Nadu,Coimbatore,Gandhipuram,TWR_1152,5G,Friday,0,August,-97.56315204335658,59.10955888505133,20.960095553899052,BSNL,Fair,Medium,Moderate
2025-08-01,Tamil Nadu,Coimbatore,Gandhipuram,TWR_1152,5G,Friday,0,August,-101.47823717528085,70.0365335098542,26.394403833368923,Jio,Poor,High (Poor),Moderate
2025-08-01,Tamil Nadu,Coimbatore,Gandhipuram,TWR_1152,5G,Friday,0,August,-100.10774229806029,64.30415498012528,24.34983521626236,Vi,Poor,High (Poor),Moderate
2025-08-01,Tamil Nadu,Coimbatore,RS Puram,TWR_1151,4G,Friday,0,August,-95.45424426740358,21.701866501785027,47.39561534079217,Airtel,Fair,Low (Optimal),Moderate
2025-08-01,Tamil Nadu,Coimbatore,RS Puram,TWR_1151,4G,Friday,0,August,-94.7923080009532,24.05333054643534,58.11587036629256,BSNL,Fair,Low (Optimal),High Speed
2025-08-01,Tamil Nadu,Coimbatore,RS Puram,TWR_1151,4G,Friday,0,August,-97.88551184134572,30.807440025420775,64.47591080490771,Jio,Fair,Medium,High Speed
2025-08-01,Tamil Nadu,Coimbatore,RS Puram,TWR_1151,4G,Friday,0,August,-98.6111987462779,12.519194548041282,64.8678699448474,Vi,Fair,Low (Optimal),High Speed
2025-08-01,Tamil Nadu,Madurai,K.Pudur,TWR_1166,4G,Friday,0,August,-101.85809324517204,31.502310331813078,29.130174701968507,Airtel,Poor,Medium,Moderate
2025-08-01,Tamil Nadu,Madurai,K.Pudur,TWR_1166,4G,Friday,0,August,-99.39987912515434,28.756724183254754,24.38329141048113,BSNL,Fair,Low (Optimal),Moderate
2025-08-01,Tamil Nadu,Madurai,K.Pudur,TWR_1166,4G,Friday,0,August,-101.85782270551309,25.10785011685351,30.445707747539817,Jio,Poor,Low (Optimal),Moderate
2025-08-01,Tamil Nadu,Madurai,K.Pudur,TWR_1166,4G,Friday,0,August,-102.55962778709859,24.253562170215403,25.488311620707794,Vi,Poor,Low (Optimal),Moderate
2025-08-01,Tamil Nadu,Madurai,Sellur,TWR_1167,4G,Friday,0,August,-76.93732515753982,47.72039437117488,75.14813771409408,Airtel,Excellent,Medium,High Speed
2025-08-01,Tamil Nadu,Madurai,Sellur,TWR_1167,4G,Friday,0,August,-83.87009537065026,57.60500105142077,69.63420828946734,BSNL,Good,Medium,High Speed
2025-08-01,Tamil Nadu,Madurai,Sellur,TWR_1167,4G,Friday,0,August,-76.57527705190874,51.00112046471203,70.63237315734875,Jio,Excellent,Medium,High Speed
2025-08-01,Tamil Nadu,Madurai,Sellur,TWR_1167,4G,Friday,0,August,-78.43472141938982,53.74857735766009,85.1049887956816,Vi,Excellent,Medium,High Speed
2025-08-01,Telangana,Hyderabad,Gachibowli,TWR_1046,4G,Friday,0,August,-84.67175367063228,65.66058887220379,44.14632541392811,Airtel,Good,High (Poor),Moderate
2025-08-01,Telangana,Hyderabad,Gachibowli,TWR_1046,4G,Friday,0,August,-88.4943907846107,63.5959953945145,42.39469424517676,BSNL,Good,High (Poor),Moderate
2025-08-01,Telangana,Hyderabad,Gachibowli,TWR_1046,4G,Friday,0,August,-83.95411873449471,62.67510740365789,44.8998655601794,Jio,Good,High (Poor),Moderate
2025-08-01,Telangana,Hyderabad,Gachibowli,TWR_1046,4G,Friday,0,August,-82.03029216089256,63.757571677066956,39.74532892395539,Vi,Good,High (Poor),Moderate
2025-08-01,Telangana,Hyderabad,Uppal,TWR_1047,4G,Friday,0,August,-95.66579390260597,57.5021340591956,45.32623360067534,Airtel,Fair,Medium,Moderate
2025-08-01,Telangana,Hyderabad,Uppal,TWR_1047,4G,Friday,0,August,-86.3276792682274,62.1681510168253,37.10162478738257,BSNL,Good,High (Poor),Moderate
2025-08-01,Telangana,Hyderabad,Uppal,TWR_1047,4G,Friday,0,August,-86.14973180134045,54.52605637459864,31.666042422974233,Jio,Good,Medium,Moderate
2025-08-01,Telangana,Hyderabad,Uppal,TWR_1047,4G,Friday,0,August,-87.83282581412257,69.91396416138082,33.62358084152099,Vi,Good,High (Poor),Moderate
2025-08-01,Telangana,Nizamabad,Kanteshwar,TWR_1076,4G,Friday,0,August,-83.1596429655228,46.12103352570771,33.04459067324812,Airtel,Good,Medium,Moderate
2025-08-01,Telangana,Nizamabad,Kanteshwar,TWR_1076,4G,Friday,0,August,-87.27991712359253,39.10914470118745,37.96288604823561,BSNL,Good,Medium,Moderate
2025-08-01,Telangana,Nizamabad,Kanteshwar,TWR_1076,4G,Friday,0,August,-85.73592575586204,42.52340462489314,37.29794746979554,Jio,Good,Medium,Moderate
2025-08-01,Telangana,Nizamabad,Kanteshwar,TWR_1076,4G,Friday,0,August,-87.11184013662934,31.654386462432676,38.727343545074675,Vi,Good,Medium,Moderate
2025-08-01,Telangana,Nizamabad,Vinayak Nagar,TWR_1077,5G,Friday,0,August,-75.61007181118354,66.95479423607391,42.35269585900431,Airtel,Excellent,High (Poor),Moderate
2025-08-01,Telangana,Nizamabad,Vinayak Nagar,TWR_1077,5G,Friday,0,August,-81.36967168503273,62.3100684532208,37.316363427622846,BSNL,Good,High (Poor),Moderate
2025-08-01,Telangana,Nizamabad,Vinayak Nagar,TWR_1077,5G,Friday,0,August,-82.05364837394904,67.20755548863036,38.54749830582045,Jio,Good,High (Poor),Moderate
2025-08-01,Telangana,Nizamabad,Vinayak Nagar,TWR_1077,5G,Friday,0,August,-80.65362698727483,67.70047656140322,32.86004554882005,Vi,Good,High (Poor),Moderate
2025-08-01,Telangana,Warangal,Hanumakonda,TWR_1061,4G,Friday,0,August,-89.9952721517681,41.315582174202454,31.889813783431844,Airtel,Good,Medium,Moderate
2025-08-01,Telangana,Warangal,Hanumakonda,TWR_1061,4G,Friday,0,August,-87.43681756381794,43.775378735069204,43.246717012974756,BSNL,Good,Medium,Moderate
2025-08-01,Telangana,Warangal,Hanumakonda,TWR_1061,4G,Friday,0,August,-92.54601260878367,50.6925117011086,30.852905384342893,Jio,Fair,Medium,Moderate
2025-08-01,Telangana,Warangal,Hanumakonda,TWR_1061,4G,Friday,0,August,-96.02197837477267,51.70835255458552,32.847258419644426,Vi,Fair,Medium,Moderate
2025-08-01,Telangana,Warangal,Kazipet,TWR_1062,4G,Friday,0,August,-87.64631254050965,28.360154960053052,23.957890539098543,Airtel,Good,Low (Optimal),Moderate
2025-08-01,Telangana,Warangal,Kazipet,TWR_1062,4G,Friday,0,August,-90.83869844378168,32.12394411867302,20.358745556443075,BSNL,Fair,Medium,Moderate
2025-08-01,Telangana,Warangal,Kazipet,TWR_1062,4G,Friday,0,August,-95.54442428713106,45.71411268588491,25.536722000631705,Jio,Fair,Medium,Moderate
2025-08-01,Telangana,Warangal,Kazipet,TWR_1062,4G,Friday,0,August,-87.21401725589632,36.99469255179081,21.400044447619692,Vi,Good,Medium,Moderate
2025-08-02,Andhra Pradesh,Guntur,Arundalpet,TWR_1033,5G,Saturday,1,August,-79.79407574550872,33.79686140139816,23.905345420722764,Airtel,Excellent,Medium,Moderate
2025-08-02,Andhra Pradesh,Guntur,Arundalpet,TWR_1033,5G,Saturday,1,August,-77.34237616973435,36.76359197662501,32.51272337225419,BSNL,Excellent,Medium,Moderate
2025-08-02,Andhra Pradesh,Guntur,Arundalpet,TWR_1033,5G,Saturday,1,August,-77.47186022477328,33.97081325994736,27.803899650987823,Jio,Excellent,Medium,Moderate
2025-08-02,Andhra Pradesh,Guntur,Arundalpet,TWR_1033,5G,Saturday,1,August,-77.87549341029298,35.080075751430414,32.19975752715094,Vi,Excellent,Medium,Moderate
2025-08-02,Andhra Pradesh,Guntur,Brodipet,TWR_1031,4G,Saturday,1,August,-67.62414897816701,26.857662677047344,28.869683482004167,Airtel,Excellent,Low (Optimal),Moderate
2025-08-02,Andhra Pradesh,Guntur,Brodipet,TWR_1031,4G,Saturday,1,August,-70.73267095641285,17.861671791256715,28.32329002527958,BSNL,Excellent,Low (Optimal),Moderate
2025-08-02,Andhra Pradesh,Guntur,Brodipet,TWR_1031,4G,Saturday,1,August,-63.8339151484136,25.991400581123532,32.208431892722416,Jio,Excellent,Low (Optimal),Moderate
2025-08-02,Andhra Pradesh,Guntur,Brodipet,TWR_1031,4G,Saturday,1,August,-69.7512309991966,15.538042976098206,27.672014681141516,Vi,Excellent,Low (Optimal),Moderate
2025-08-02,Andhra Pradesh,Guntur,Brodipet,TWR_1032,4G,Saturday,1,August,-82.78310194280836,43.51326072749348,50.165470123583624,Airtel,Good,Medium,High Speed
2025-08-02,Andhra Pradesh,Guntur,Brodipet,TWR_1032,4G,Saturday,1,August,-81.47815499304804,41.19473050320256,63.476861628761085,BSNL,Good,Medium,High Speed
2025-08-02,Andhra Pradesh,Guntur,Brodipet,TWR_1032,4G,Saturday,1,August,-82.68437990586328,54.69646679259891,52.48035666438071,Jio,Good,Medium,High Speed
2025-08-02,Andhra Pradesh,Guntur,Brodipet,TWR_1032,4G,Saturday,1,August,-79.87966041212057,55.11042370004007,45.32870180281288,Vi,Excellent,Medium,Moderate
2025-08-02,Andhra Pradesh,Vijayawada,Benz Circle,TWR_1016,4G,Saturday,1,August,-77.56036089600443,59.79450772662113,59.252230215206026,Airtel,Excellent,Medium,High Speed
2025-08-02,Andhra Pradesh,Vijayawada,Benz Circle,TWR_1016,4G,Saturday,1,August,-75.7882168429513,53.92289434445657,79.40041804279356,BSNL,Excellent,Medium,High Speed
2025-08-02,Andhra Pradesh,Vijayawada,Benz Circle,TWR_1016,4G,Saturday,1,August,-80.21085619574613,58.13108118399425,61.50778173585568,Jio,Good,Medium,High Speed
2025-08-02,Andhra Pradesh,Vijayawada,Benz Circle,TWR_1016,4G,Saturday,1,August,-75.9833752823026,52.757629445898466,73.42751190725203,Vi,Excellent,Medium,High Speed
2025-08-02,Andhra Pradesh,Vijayawada,Benz Circle,TWR_1017,4G,Saturday,1,August,-91.31611839408626,50.21252205076654,21.376822834785855,Airtel,Fair,Medium,Moderate
2025-08-02,Andhra Pradesh,Vijayawada,Benz Circle,TWR_1017,4G,Saturday,1,August,-98.33563100634639,48.60911228021901,30.13275327963638,BSNL,Fair,Medium,Moderate
2025-08-02,Andhra Pradesh,Vijayawada,Benz Circle,TWR_1017,4G,Saturday,1,August,-99.00205537110261,63.595844405764524,23.937458784805436,Jio,Fair,High (Poor),Moderate
2025-08-02,Andhra Pradesh,Vijayawada,Benz Circle,TWR_1017,4G,Saturday,1,August,-94.46835234795196,53.46532032721428,24.370190140333758,Vi,Fair,Medium,Moderate
2025-08-02,Andhra Pradesh,Vijayawada,Patamata,TWR_1018,4G,Saturday,1,August,-77.86188126295735,34.20366536956427,23.807512391335163,Airtel,Excellent,Medium,Moderate
