Network_type,Operator,State,Signal_strength_dBm,No_of_Issues_Resolved,Plan_Type,Months_Active,Latency_Score,Customer_Churn
5G,Jio,Karnataka,-92.55,12,Monthly Plan,53,45.01392450950429,0
5G,Jio,Uttar Pradesh,-110.75,1,3 Months Plan,9,78.44176592645046,1
4G,Jio,Telangana,-84.16,0,Yearly Plan,3,35.92043431714906,1
5G,Jio,Karnataka,-89.74,13,3 Months Plan,53,42.03365727154698,0
5G,Jio,West Bengal,-86.12,13,3 Months Plan,29,33.07616445479308,0
5G,Jio,Kerala,-84.68,6,Monthly Plan,24,29.10221132826959,1
4G,Jio,Delhi,-80.34,8,Yearly Plan,21,26.78329020255633,0
5G,Jio,Gujarat,-97.14,1,3 Months Plan,17,53.95239493959157,1
4G,Jio,Telangana,-92.77,1,Yearly Plan,17,48.09467512280714,1
5G,Jio,Tamil Nadu,-77.23,1,Yearly Plan,22,20.020680102714888,1
4G,Jio,Maharashtra,-90.86,6,Yearly Plan,5,45.60541751354504,1
5G,Jio,Telangana,-108.29,1,Yearly Plan,56,74.45323209966193,0
4G,Jio,Delhi,-86.19,0,3 Months Plan,17,38.19585162925962,1
4G,Jio,Telangana,-120.0,3,3 Months Plan,53,93.9408832830558,0
4G,Jio,Delhi,-117.62,2,Yearly Plan,2,91.20047172914032,1
5G,Jio,Tamil Nadu,-84.37,1,Monthly Plan,22,29.74119015736867,1
5G,Jio,Telangana,-76.86,4,3 Months Plan,58,17.938872839322826,0
4G,Jio,Gujarat,-83.24,4,Yearly Plan,20,34.06972698509588,1
4G,Jio,Telangana,-120.0,1,Yearly Plan,19,95.96855897281957,1
4G,Jio,Delhi,-107.4,8,3 Months Plan,7,73.58849448397274,1
4G,Jio,Maharashtra,-84.21,2,3 Months Plan,18,34.81765495559716,1
4G,Jio,Telangana,-94.75,0,3 Months Plan,23,52.04893584681478,1
5G,Jio,Gujarat,-84.56,7,Yearly Plan,36,32.703875031395086,0
5G,Jio,Karnataka,-83.95,0,Monthly Plan,16,32.12240872728588,1
5G,Jio,Gujarat,-76.44,4,3 Months Plan,23,19.14067225554169,1
5G,Jio,Delhi,-108.39,6,Monthly Plan,3,75.65639432885851,1
4G,Jio,Uttar Pradesh,-84.44,6,Monthly Plan,43,37.20371500379735,0
5G,Jio,Rajasthan,-91.57,1,3 Months Plan,16,41.98688623061153,1
4G,Jio,Kerala,-96.37,3,Monthly Plan,23,54.96054275965077,0
4G,Jio,Tamil Nadu,-94.15,4,3 Months Plan,24,51.152286171963965,1
5G,Jio,Maharashtra,-79.57,4,Monthly Plan,20,21.28930213540211,1
5G,Jio,West Bengal,-77.7,5,Yearly Plan,64,20.588806537523112,0
5G,Jio,Kerala,-81.06,4,3 Months Plan,55,22.955976098393943,0
5G,Jio,West Bengal,-77.24,2,Monthly Plan,4,20.41956493724523,1
4G,Jio,Tamil Nadu,-109.48,0,Yearly Plan,20,77.71698699619807,1
5G,Jio,Maharashtra,-74.17,1,Yearly Plan,16,16.26781771276213,1
4G,Jio,Maharashtra,-111.79,9,Monthly Plan,22,81.43341089113474,0
5G,Jio,Kerala,-86.67,4,Yearly Plan,54,34.41089925418165,0
5G,Jio,Tamil Nadu,-90.0,0,Monthly Plan,3,39.87123516182764,1
5G,Jio,Tamil Nadu,-96.01,0,Monthly Plan,4,51.856006476822834,1
5G,Jio,Gujarat,-89.25,1,Yearly Plan,4,40.2014144053696,1
5G,Jio,Maharashtra,-75.77,1,3 Months Plan,1,15.66701579656185,1
5G,Jio,Karnataka,-85.11,1,Yearly Plan,8,32.794528882026825,1
5G,Jio,Maharashtra,-87.79,8,Monthly Plan,66,36.849914233735255,0
4G,Jio,Gujarat,-100.52,1,Yearly Plan,15,63.52046345028267,0
5G,Jio,Gujarat,-96.04,9,Yearly Plan,58,53.72472071213953,0
4G,Jio,Tamil Nadu,-82.4,5,Monthly Plan,14,33.38470563593329,1
5G,Jio,Telangana,-99.8,1,Yearly Plan,6,60.26317884976197,1
5G,Jio,West Bengal,-96.4,5,Monthly Plan,13,50.72781210206568,1
4G,Jio,West Bengal,-93.86,6,3 Months Plan,5,53.78560737098076,1
5G,Jio,West Bengal,-80.0,1,3 Months Plan,16,23.315676438576222,1
5G,Jio,Delhi,-79.88,4,Yearly Plan,4,23.74157922444282,1
5G,Jio,Kerala,-76.0,0,Yearly Plan,9,17.83999588531749,1
5G,Jio,Tamil Nadu,-95.25,0,Monthly Plan,24,50.26398402181641,1
4G,Jio,Rajasthan,-105.39,2,3 Months Plan,20,73.65660293025994,1
5G,Jio,Uttar Pradesh,-91.62,6,Monthly Plan,39,44.1849757161313,0
5G,Jio,Gujarat,-75.46,0,Monthly Plan,1,14.438845446385937,1
5G,Jio,Delhi,-74.65,3,Yearly Plan,8,12.63192012240911,1
4G,Jio,Maharashtra,-88.32,5,Yearly Plan,59,44.04152991974698,0
5G,Jio,Tamil Nadu,-108.12,4,3 Months Plan,69,74.39409373744044,0
4G,Jio,Rajasthan,-97.49,0,Yearly Plan,16,56.354998489424446,1
5G,Jio,Maharashtra,-73.88,4,Monthly Plan,10,14.193260284846277,1
4G,Jio,Kerala,-93.45,4,3 Months Plan,23,51.15859401200103,1
5G,Jio,Gujarat,-73.94,3,Yearly Plan,15,13.426043199508756,0
5G,Jio,Karnataka,-75.26,1,Monthly Plan,46,16.32809604682536,0
5G,Jio,Tamil Nadu,-105.98,9,3 Months Plan,29,69.31366038740343,0
5G,Jio,Tamil Nadu,-87.69,2,Monthly Plan,22,37.54507365872136,1
5G,Jio,Telangana,-85.03,2,Monthly Plan,10,30.09278053182841,1
5G,Jio,Gujarat,-110.18,1,Yearly Plan,36,77.86695849341379,0
5G,Jio,Kerala,-96.91,2,Monthly Plan,12,52.733928842907694,1
4G,Jio,Maharashtra,-82.79,5,3 Months Plan,5,31.731547141664183,1
5G,Jio,Rajasthan,-76.94,1,Yearly Plan,7,18.705811245927737,1
4G,Jio,Rajasthan,-102.28,5,3 Months Plan,13,63.87927648711067,1
4G,Jio,Karnataka,-96.47,6,Yearly Plan,33,53.170003210849295,0
4G,Jio,Gujarat,-84.73,4,Monthly Plan,28,33.915977594618674,0
5G,Jio,Karnataka,-81.14,10,Monthly Plan,62,24.028896769404955,0
5G,Jio,Rajasthan,-90.22,3,Yearly Plan,48,45.31859330942421,0
5G,Jio,Tamil Nadu,-92.77,0,3 Months Plan,23,46.58993386589144,1
4G,Jio,Delhi,-81.08,7,Monthly Plan,57,27.807646449981128,0
5G,Jio,Kerala,-92.63,6,Monthly Plan,41,46.114161290808426,0
4G,Jio,Maharashtra,-78.18,1,3 Months Plan,13,25.457020686633168,1
5G,Jio,Rajasthan,-89.45,8,Yearly Plan,59,42.0887734743437,0
5G,Jio,Maharashtra,-79.33,2,Monthly Plan,22,19.25280008712429,1
4G,Jio,Tamil Nadu,-78.52,0,Monthly Plan,23,25.41803380099476,1
4G,Jio,Maharashtra,-101.69,1,3 Months Plan,12,65.73896993845108,1
4G,Jio,Karnataka,-84.19,4,Yearly Plan,22,36.965080625530526,1
5G,Jio,Kerala,-94.25,8,Monthly Plan,53,52.462878483532336,0
4G,Jio,Telangana,-97.11,2,Monthly Plan,16,56.15848833380552,1
4G,Jio,Karnataka,-87.45,6,3 Months Plan,69,39.79489187129921,0
5G,Jio,West Bengal,-87.34,4,3 Months Plan,30,38.51799676091,0
4G,Jio,Kerala,-85.37,12,3 Months Plan,24,34.3509944014828,0
5G,Jio,Karnataka,-86.03,6,Yearly Plan,13,34.95819761652827,0
5G,Jio,Rajasthan,-76.99,12,Monthly Plan,21,18.04061720293285,0
5G,Jio,Telangana,-96.79,5,3 Months Plan,4,52.38330838304517,1
5G,Jio,Delhi,-94.08,2,3 Months Plan,16,48.16435676370288,1
4G,Jio,West Bengal,-96.23,0,Monthly Plan,23,55.364982171982646,1
5G,Jio,Gujarat,-72.11,6,3 Months Plan,1,10.285187299727744,1
4G,Jio,West Bengal,-100.65,0,Monthly Plan,8,64.84637085950494,1
5G,Jio,Gujarat,-81.18,6,Yearly Plan,23,25.823508277171047,0
5G,Jio,Telangana,-73.43,3,Monthly Plan,12,10.40401402387615,1
4G,Jio,Kerala,-99.73,7,3 Months Plan,23,60.74640801801141,1
5G,Jio,Telangana,-79.55,1,Monthly Plan,10,22.494354442942505,1
4G,Jio,Gujarat,-110.89,0,3 Months Plan,9,80.27127955746673,1
5G,Jio,Tamil Nadu,-88.92,8,3 Months Plan,25,41.34537376296076,0
5G,Jio,Delhi,-79.21,1,Monthly Plan,24,23.06969662181177,1
4G,Jio,Rajasthan,-104.69,10,Monthly Plan,26,69.55570491980079,0
4G,Jio,Rajasthan,-92.67,8,Yearly Plan,67,47.6574897727312,0
4G,Jio,Maharashtra,-85.41,9,Yearly Plan,68,36.39255011263371,0
5G,Jio,Rajasthan,-89.75,3,Yearly Plan,24,39.98802720673002,1
5G,Jio,Rajasthan,-86.31,4,3 Months Plan,65,35.34831811262374,0
5G,Jio,Tamil Nadu,-82.59,1,Monthly Plan,35,27.659980721180784,0
4G,Jio,Telangana,-110.58,6,3 Months Plan,17,80.72666491771778,1
4G,Jio,Gujarat,-110.54,4,3 Months Plan,9,79.61771205014122,1
4G,Jio,Telangana,-88.96,4,Monthly Plan,17,43.026104437982205,1
4G,Jio,Karnataka,-82.65,6,3 Months Plan,19,30.64390122592277,1
4G,Jio,Delhi,-81.28,5,3 Months Plan,14,29.6185795992072,0
5G,Jio,Karnataka,-79.62,0,Yearly Plan,3,22.419484660691467,1
4G,Jio,Gujarat,-100.49,0,Monthly Plan,21,63.91828641238726,1
4G,Jio,Gujarat,-79.84,2,Monthly Plan,7,25.676811494624594,1
5G,Jio,Kerala,-108.93,1,Monthly Plan,7,76.58733623340366,1
4G,Jio,West Bengal,-83.38,1,3 Months Plan,22,31.321908223767338,0
5G,Jio,Uttar Pradesh,-76.96,4,Monthly Plan,16,16.662787220837444,0
5G,Jio,Gujarat,-88.56,2,Monthly Plan,40,42.44243307357902,0
5G,Jio,Gujarat,-76.36,2,3 Months Plan,13,17.40693222786323,1
4G,Jio,Kerala,-115.27,1,3 Months Plan,9,86.9677836107341,1
5G,Jio,Delhi,-84.22,5,Monthly Plan,37,31.65894601178516,0
4G,Jio,Tamil Nadu,-115.2,1,Yearly Plan,20,86.91576158225564,1
4G,Jio,Maharashtra,-86.49,8,Monthly Plan,27,38.38366453072809,0
4G,Jio,Rajasthan,-80.75,11,3 Months Plan,20,26.46359689388583,0
4G,Jio,Kerala,-81.98,3,Monthly Plan,19,31.55886094968434,1
5G,Jio,Tamil Nadu,-85.64,9,Monthly Plan,56,32.5469537210937,0
4G,Jio,Rajasthan,-120.0,1,Monthly Plan,3,97.76841557452464,1
4G,Jio,Telangana,-84.91,4,Yearly Plan,47,36.00276435249238,0
4G,Jio,Telangana,-80.97,0,3 Months Plan,6,27.75049645651168,1
4G,Jio,Kerala,-97.52,7,3 Months Plan,6,56.55364484789588,1
5G,Jio,Tamil Nadu,-94.99,7,3 Months Plan,56,52.03786308875431,0
5G,Jio,Karnataka,-77.22,9,3 Months Plan,31,20.26305346156988,0
4G,Jio,Kerala,-107.2,3,Yearly Plan,36,73.59082272261458,0
5G,Jio,West Bengal,-74.32,3,Yearly Plan,22,15.103104416371036,0
4G,Jio,Kerala,-105.44,1,Yearly Plan,61,70.98646279341459,0
5G,Jio,Telangana,-99.86,5,Yearly Plan,63,60.18000349416292,0
5G,Jio,Tamil Nadu,-91.98,4,Monthly Plan,22,44.13358153908353,1
5G,Jio,Delhi,-78.33,10,Monthly Plan,36,20.115112682498363,0
4G,Jio,Telangana,-114.72,6,Monthly Plan,70,86.11654851580877,0
5G,Jio,Maharashtra,-85.57,3,3 Months Plan,16,30.03770570304865,0
5G,Jio,Telangana,-100.59,3,3 Months Plan,20,61.2563704866298,0
5G,Jio,Maharashtra,-88.28,4,Monthly Plan,4,38.79032037528747,1
4G,Jio,Delhi,-86.65,3,3 Months Plan,25,38.51854423314574,0
5G,Jio,Rajasthan,-83.25,5,Monthly Plan,26,31.026915884523632,0
5G,Jio,Rajasthan,-81.32,6,Yearly Plan,13,25.963336020543725,1
5G,Jio,Tamil Nadu,-86.25,1,Monthly Plan,3,35.828527987164435,1
4G,Jio,Gujarat,-98.33,10,Monthly Plan,25,60.23682284551324,0
4G,Jio,West Bengal,-80.24,3,Yearly Plan,40,28.43081840130458,0
4G,Jio,Gujarat,-107.89,2,Yearly Plan,58,76.4315255858786,0
4G,Jio,Uttar Pradesh,-85.05,6,Monthly Plan,18,34.77212827923298,1
5G,Jio,Karnataka,-76.33,1,Monthly Plan,5,16.629092750718357,1
4G,Jio,Uttar Pradesh,-88.88,9,Monthly Plan,46,42.12644327316447,0
4G,Jio,Karnataka,-118.12,2,3 Months Plan,18,92.50250890504404,1
5G,Jio,Telangana,-88.08,2,3 Months Plan,40,39.8636040629005,0
5G,Jio,Gujarat,-89.28,2,3 Months Plan,60,36.888874035909424,0
5G,Jio,Karnataka,-106.82,11,3 Months Plan,43,70.77768225361241,0
5G,Jio,Tamil Nadu,-82.6,8,Monthly Plan,35,27.95769615737937,0
5G,Jio,Kerala,-90.59,2,3 Months Plan,35,42.21869416158803,0
5G,Jio,Kerala,-91.12,4,3 Months Plan,19,44.17058197621545,1
4G,Jio,Tamil Nadu,-82.91,10,Monthly Plan,63,34.155157600865884,0
5G,Jio,Rajasthan,-95.61,1,3 Months Plan,4,50.47059830985871,1
4G,Jio,Gujarat,-84.6,2,Monthly Plan,1,36.82238128096076,1
5G,Jio,Telangana,-92.01,0,Monthly Plan,2,46.59017412843781,1
4G,Jio,Tamil Nadu,-81.14,1,3 Months Plan,3,26.355755488569223,1
4G,Jio,Rajasthan,-96.73,0,3 Months Plan,12,54.615460563530704,1
4G,Jio,Rajasthan,-98.32,5,Monthly Plan,51,60.26486453018993,0
5G,Jio,Rajasthan,-90.25,7,Monthly Plan,23,42.50449072379944,1
5G,Jio,Delhi,-105.4,0,Yearly Plan,15,72.76428772239363,1
4G,Jio,Maharashtra,-91.11,1,Yearly Plan,2,46.70689654444341,1
5G,Jio,Uttar Pradesh,-98.62,7,Yearly Plan,11,55.848502393857146,1
5G,Jio,Maharashtra,-84.24,1,3 Months Plan,6,32.57346523151232,1
4G,Jio,Delhi,-91.8,7,Monthly Plan,39,47.7491425819431,0
4G,Jio,Telangana,-90.83,0,Yearly Plan,18,46.025726898397934,1
5G,Jio,Telangana,-97.02,4,Monthly Plan,19,53.3191348332872,1
5G,Jio,Delhi,-79.84,3,3 Months Plan,58,24.83242873692719,0
4G,Jio,Tamil Nadu,-96.63,5,3 Months Plan,4,57.90862383374952,1
4G,Jio,West Bengal,-115.04,0,Yearly Plan,5,87.93287436788849,1
5G,Jio,Rajasthan,-89.56,1,Yearly Plan,11,40.90719797139386,1
5G,Jio,Karnataka,-78.76,6,3 Months Plan,15,20.863933317613707,1
4G,Jio,Telangana,-83.5,1,Yearly Plan,61,34.22228516937829,0
5G,Jio,Tamil Nadu,-89.4,3,Monthly Plan,54,41.72396289310413,0
5G,Jio,Telangana,-94.83,5,Monthly Plan,18,50.7044246146726,0
4G,Jio,Rajasthan,-114.43,8,Yearly Plan,34,86.76144886624391,0
5G,Jio,Delhi,-78.63,2,3 Months Plan,5,22.120831795648616,1
5G,Jio,Telangana,-89.75,11,Monthly Plan,42,41.4527459464983,0
4G,Jio,Gujarat,-80.59,2,Monthly Plan,10,28.576481517662067,1
5G,Jio,Rajasthan,-98.1,2,Monthly Plan,21,57.448889932884605,1
4G,Jio,West Bengal,-89.91,5,Monthly Plan,42,42.664058655948544,0
4G,Jio,Rajasthan,-79.38,1,Monthly Plan,13,26.68797312077954,1
4G,Jio,Uttar Pradesh,-87.1,9,Yearly Plan,56,38.48818508348244,0
4G,Jio,Rajasthan,-80.99,0,3 Months Plan,8,27.967667265340708,1
5G,Jio,West Bengal,-85.63,6,3 Months Plan,39,31.619199341300007,0
4G,Jio,Karnataka,-80.47,2,Yearly Plan,42,30.2612454564054,0
4G,Jio,Gujarat,-88.27,2,Monthly Plan,32,41.0137893510251,0
4G,Jio,Kerala,-87.37,2,Yearly Plan,15,40.53771228142766,1
4G,Jio,Karnataka,-80.49,2,Monthly Plan,26,25.44885625060068,0
5G,Jio,Rajasthan,-101.68,11,Monthly Plan,17,60.92856624878106,0
4G,Jio,Telangana,-95.43,0,3 Months Plan,19,52.756411867679965,1
4G,Jio,Gujarat,-94.75,1,3 Months Plan,45,51.77347881328747,0
4G,Jio,Rajasthan,-101.02,1,Yearly Plan,23,62.07471815715685,1
4G,Jio,Uttar Pradesh,-85.68,2,Monthly Plan,11,38.51501631699339,1
4G,Jio,Maharashtra,-98.86,8,3 Months Plan,62,60.25570843537656,0
5G,Jio,Uttar Pradesh,-80.61,11,3 Months Plan,64,23.205605539329703,0
5G,Jio,Rajasthan,-95.77,2,Yearly Plan,25,50.66579980528283,0
5G,Jio,Rajasthan,-92.66,7,3 Months Plan,39,45.66429307046344,0
4G,Jio,Gujarat,-108.88,3,Monthly Plan,69,76.74970496766275,0
5G,Jio,Tamil Nadu,-72.94,0,3 Months Plan,7,12.753097048564996,1
5G,Jio,Tamil Nadu,-101.11,1,Yearly Plan,4,61.64789430869758,1
4G,Jio,Kerala,-96.46,1,Yearly Plan,21,54.62071869132049,0
5G,Jio,Gujarat,-77.71,8,Yearly Plan,58,21.92966393461253,0
5G,Jio,Delhi,-77.47,2,3 Months Plan,6,18.11178259704806,1
4G,Jio,Gujarat,-81.96,5,3 Months Plan,11,29.55302688347063,1
4G,Jio,Uttar Pradesh,-107.39,1,Monthly Plan,24,73.71093280846168,1
5G,Jio,Telangana,-95.01,1,Monthly Plan,15,51.89153043326063,1
5G,Jio,Rajasthan,-80.89,1,3 Months Plan,22,23.646392779890952,1
5G,Jio,Rajasthan,-83.09,2,Yearly Plan,24,28.072779608156413,1
5G,Jio,Kerala,-76.12,0,Yearly Plan,8,16.918231478518106,1
4G,Jio,Rajasthan,-103.57,9,3 Months Plan,42,69.18103571012108,0
5G,Jio,Tamil Nadu,-102.9,4,Yearly Plan,17,65.1237903612552,1
4G,Jio,Tamil Nadu,-96.81,9,Yearly Plan,50,56.25147916115648,0
5G,Jio,Tamil Nadu,-75.77,1,Yearly Plan,52,15.012733742018089,0
5G,Jio,Rajasthan,-89.89,8,Monthly Plan,47,40.95742914206225,0
4G,Jio,Telangana,-94.01,0,Yearly Plan,6,51.15127937935694,1
4G,Jio,Karnataka,-90.57,5,Monthly Plan,2,43.96392396657598,1
5G,Jio,Gujarat,-77.75,6,3 Months Plan,22,19.3602441960135,0
4G,Jio,Uttar Pradesh,-105.02,4,Monthly Plan,5,69.20574779534596,1
5G,Jio,West Bengal,-75.2,0,3 Months Plan,9,15.071712698905712,1
5G,Jio,Maharashtra,-89.08,3,Yearly Plan,35,42.07045202681465,0
4G,Jio,Kerala,-116.15,3,Yearly Plan,23,91.03663699769832,1
5G,Jio,Delhi,-98.09,2,Monthly Plan,60,58.4098473567792,0
4G,Jio,Rajasthan,-89.22,0,Monthly Plan,9,44.322192185227024,1
4G,Jio,Uttar Pradesh,-83.37,6,Monthly Plan,71,33.75467258372249,0
5G,Jio,Uttar Pradesh,-96.95,8,Monthly Plan,36,56.09302251682931,0
4G,Jio,Telangana,-81.01,1,Yearly Plan,5,28.28601244171266,1
4G,Jio,Telangana,-83.66,8,Monthly Plan,47,33.07539519061218,0
5G,Jio,Tamil Nadu,-83.6,0,Monthly Plan,8,27.77741208731694,1
4G,Jio,Delhi,-106.24,14,3 Months Plan,38,74.1631111744938,0
5G,Jio,Uttar Pradesh,-102.59,2,Monthly Plan,14,65.26610819321553,1
5G,Jio,Karnataka,-116.96,8,Monthly Plan,57,92.94947618136064,0
4G,Jio,Kerala,-107.48,6,Monthly Plan,8,74.66341369917095,1
4G,Jio,Tamil Nadu,-82.63,12,Yearly Plan,70,31.426201755189524,0
4G,Jio,Karnataka,-80.39,5,Yearly Plan,67,26.619774059325696,0
4G,Jio,Rajasthan,-114.73,6,Monthly Plan,22,87.63847271339871,0
5G,Jio,West Bengal,-86.43,5,Monthly Plan,12,34.212283242223705,0
5G,Jio,Karnataka,-98.33,4,Monthly Plan,6,58.61106674215999,1
5G,Jio,Maharashtra,-75.96,5,3 Months Plan,23,14.037838504232896,1
5G,Jio,West Bengal,-92.61,5,3 Months Plan,33,47.30049748588823,0
5G,Jio,West Bengal,-74.82,2,Monthly Plan,10,13.598281689820425,1
4G,Jio,Kerala,-97.9,0,3 Months Plan,8,58.47379286262042,1
4G,Jio,Rajasthan,-99.15,2,Monthly Plan,5,58.117100096218,1
4G,Jio,Telangana,-81.64,7,Yearly Plan,41,32.02048734379327,0
4G,Jio,Tamil Nadu,-86.93,4,3 Months Plan,32,40.212552626169206,0
4G,Jio,Karnataka,-96.45,0,Monthly Plan,11,54.12890785471669,1
4G,Jio,Kerala,-106.55,2,Monthly Plan,44,71.8985645457026,0
4G,Jio,Maharashtra,-106.68,5,Monthly Plan,6,73.51471583595384,1
5G,Jio,Gujarat,-95.11,2,Monthly Plan,14,53.0294929286934,1
4G,Jio,Rajasthan,-86.66,5,3 Months Plan,12,37.94029199992216,1
5G,Jio,Karnataka,-114.2,5,Monthly Plan,23,82.78293758555998,0
5G,Jio,Uttar Pradesh,-96.79,1,Yearly Plan,8,56.13186470214626,1
5G,Jio,West Bengal,-115.34,5,3 Months Plan,12,86.80477377080065,0
5G,Jio,Kerala,-77.9,7,3 Months Plan,60,19.41331996797041,0
5G,Jio,Maharashtra,-89.7,2,Monthly Plan,19,42.15876459000455,1
4G,Jio,Karnataka,-95.88,3,3 Months Plan,14,54.7403988119331,1
4G,Jio,Tamil Nadu,-120.0,3,Monthly Plan,14,96.8791241950384,1
4G,Jio,Telangana,-81.4,2,Monthly Plan,5,30.56816121192425,1
5G,Jio,Gujarat,-82.59,2,3 Months Plan,23,27.219865949146,1
5G,Jio,Telangana,-77.22,10,3 Months Plan,61,18.664320285144363,0
4G,Jio,Gujarat,-99.25,1,3 Months Plan,21,61.117258805789376,1
4G,Jio,Karnataka,-99.93,7,3 Months Plan,9,62.13946504746277,1
5G,Jio,Karnataka,-85.11,0,Monthly Plan,11,33.80980627309871,1
5G,Jio,Kerala,-78.41,0,3 Months Plan,19,20.931894306950973,1
4G,Jio,Tamil Nadu,-89.05,0,3 Months Plan,22,42.68707095808352,1
5G,Jio,Rajasthan,-104.4,9,3 Months Plan,23,68.07853583378144,0
5G,Jio,Tamil Nadu,-88.82,3,Monthly Plan,20,37.624919562128575,1
5G,Jio,Rajasthan,-85.66,1,Yearly Plan,6,34.871265563030526,1
4G,Jio,Telangana,-79.91,5,3 Months Plan,42,24.36806712138456,0
4G,Jio,Tamil Nadu,-96.87,1,3 Months Plan,32,56.14074647773764,0
5G,Jio,Maharashtra,-86.86,6,3 Months Plan,15,36.445190996240015,0
4G,Jio,Kerala,-98.16,1,Yearly Plan,36,57.28085861961218,0
5G,Jio,Telangana,-77.07,10,Yearly Plan,59,19.14002114105553,0
5G,Jio,Kerala,-93.62,0,Monthly Plan,18,47.24392655241301,1
4G,Jio,Rajasthan,-84.32,6,Yearly Plan,18,35.6871003247457,1
4G,Jio,Maharashtra,-90.28,0,3 Months Plan,19,45.26764117901414,1
4G,Jio,Delhi,-98.98,0,Yearly Plan,19,57.47753850595636,1
4G,Jio,Gujarat,-111.87,8,Monthly Plan,18,82.54284565870653,1
4G,Jio,Tamil Nadu,-89.85,3,Yearly Plan,27,42.873407395151766,0
5G,Jio,West Bengal,-78.21,3,Yearly Plan,37,20.70076836557979,0
5G,Jio,Delhi,-73.61,2,3 Months Plan,22,14.271082430379936,1
4G,Jio,Karnataka,-86.23,6,Monthly Plan,3,35.83969845144512,1
4G,Jio,Tamil Nadu,-90.98,0,Yearly Plan,1,44.98414576529145,1
5G,Jio,Tamil Nadu,-83.19,1,Yearly Plan,15,29.060049612683603,1
4G,Jio,Karnataka,-116.75,1,3 Months Plan,24,88.5905212714562,1
4G,Jio,Maharashtra,-83.75,6,3 Months Plan,14,33.86294885648431,1
4G,Jio,Uttar Pradesh,-80.58,0,Monthly Plan,14,27.97911751118233,1
4G,Jio,Uttar Pradesh,-81.27,2,3 Months Plan,7,30.10254012099756,1
5G,Jio,Telangana,-98.03,0,Yearly Plan,23,54.75245220971845,1
5G,Jio,Delhi,-82.54,4,Monthly Plan,54,29.1207578540163,0
